word,definition
ecology,the environment as it relates to living organisms
economy,the system of production and distribution and consumption
ecstasy,a state of being carried away by overwhelming emotion; - Charles Dickens
ectasia,dilatation or distension of a hollow organ
ectasis,dilatation or distension of a hollow organ
ectopia,abnormal position of a part or organ (especially at the time of birth)
ectopic,exhibiting ectopia
ectozoa,any external parasitic organism (as fleas)
edacity,excessive desire to eat
edental,having few if any teeth
edifice,a structure that has a roof and walls and stands more or less permanently in one place
edition,the form in which a text (especially a printed book) is published
educate,give an education to
eellike,resembling an eel in being long and thin and sinuous
eelpout,marine eellike mostly bottom-dwelling fishes of northern seas
eelworm,any of various small free-living plant-parasitic roundworms
effects,property of a personal character that is portable but not used in business
effendi,a former Turkish term of respect; especially for government officials
egality,social and political equality
egghead,an intellectual; a very studious and academic person
egotism,an exaggerated opinion of your own importance
egotist,a conceited and self-centered person
egretta,small Old and New World herons
eidetic,of visual imagery of almost photographic accuracy
eimeria,parasitic on the digestive epithelium of vertebrates and higher invertebrates
ejector,a person who ousts or supplants someone else
elamite,a member of an ancient warlike people living in Elam east of Babylonia as early as 3000 BC
elastic,a narrow band of elastic rubber used to hold things (such as papers) together
elastin,a fibrous scleroprotein found in elastic tissues such as the walls of arteries
elation,an exhilarating psychological state of pride and optimism; an absence of depression
elbowed,push one's way with the elbows
elderly,people who are old collectively
elector,a citizen who has a legal right to vote
electra,(Greek mythology) the daughter of Agamemnon and Clytemnestra; persuaded her brother (Orestes) to avenge Agamemnon's death by helping her to kill Clytemnestra and her lover (Aegisthus)
elegant,refined and tasteful in appearance or behavior or style
elegiac,resembling or characteristic of or appropriate to an elegy
elegist,the author of a mournful poem lamenting the dead
elegize,compose an elegy
element,an abstract part of something
elephas,type genus of the family Elephantidae
elevate,give a promotion to or assign to a higher position
elflike,small and delicate
elinvar,Elinvar is a trademark for a kind of steel used for watch springs because its elasticity is constant over a wide range of temperatures
elision,omission of a sound between two words (usually a vowel and the end of one word or the beginning of the next)
elkwood,small deciduous tree of eastern North America having creamy white flowers and large leaves in formations like umbrellas at the ends of branches
ellipse,a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
elocute,declaim in an elocutionary manner
elusion,the act of avoiding capture (especially by cunning)
elusive,difficult to describe
elution,the process of extracting one material from another by washing with a solvent to remove adsorbed material from an adsorbent (as in washing of loaded ion-exchange resins to remove captured ions); used to obtain uranium ions
elysian,relating to the Elysian Fields
elysium,a place or condition of ideal happiness
elytron,either of the horny front wings in beetles and some other insects which cover and protect the functional hind wings
emanate,"proceed or issue forth, as from a source"
embargo,a government order imposing a trade barrier
embassy,a diplomatic building where ambassadors live or work
embolic,of or relating to an embolism or embolus
embolus,an abnormal particle (e.g. an air bubble or part of a clot) circulating in the blood
embower,enclose in a bower
embrace,the act of clasping another person in the arms (as in greeting or affection)
embroil,"force into some kind of situation, condition, or course of action"
embrown,cause to darken
emerald,a green transparent form of beryl; highly valued as a gemstone
emigree,someone who leaves one country to settle in another
eminent,standing above others in quality or position
emirate,the domain controlled by an emir
emitter,the electrode in a transistor where electrons originate
emotion,any strong feeling
emotive,characterized by emotion
empanel,enter into a list of prospective jurors
empathy,understanding and entering into another's feelings
emperor,the male ruler of an empire
empiric,relying on medical quackery
emplace,provide a new emplacement for guns
emplane,board a plane
emporia,a large retail store organized into departments offering a variety of merchandise; commonly part of a retail chain
empower,give or delegate power or authority to
empress,a woman emperor or the wife of an emperor
emptier,holding or containing nothing
empyema,a collection of pus in a body cavity (especially in the lung cavity)
emulate,"strive to equal or match, especially by imitating"
emulous,characterized by or arising from emulation or imitation
enation,line of descent traced through the maternal side of the family
encelia,genus of shrubs of southwestern United States and Mexico: brittlebush
enchain,restrain or bind with chains
enchant,hold spellbound
enclave,an enclosed territory that is culturally distinct from the foreign territory that surrounds it
enclose,enclose or enfold completely with or as if with a covering
encomia,a formal expression of praise
encrust,cover or coat with a crust
encrypt,convert ordinary language into code
endemic,a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
endless,tiresomely long; seemingly without end
endogen,a monocotyledonous flowering plant; the stem grows by deposits on its inside
endorse,be behind; approve of
endozoa,any of various parasites that live in the internal organs of animals (especially intestinal worms)
endways,on end or upright
endwise,on end or upright
energid,a biological unit consisting of a nucleus and the body of cytoplasm with which it interacts
enfeoff,"put in possession of land in exchange for a pledge of service, in feudal society"
enforce,ensure observance of laws and rules
engaged,carry out or participate in an activity; be involved in
english,an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries
engorge,overeat or eat immodestly; make a pig of oneself
engraft,cause to grow together parts from different plants
engrave,"carve, cut, or etch into a material or surface"
engross,devote (oneself) fully to
enhance,increase
enhydra,sea otters
enjoyer,a person who delights in having or using or experiencing something
enlarge,make larger
enliven,heighten or intensify
ennoble,confer dignity or honor upon
enounce,"speak, pronounce, or utter in a certain way"
enplane,board a plane
enquire,inquire about
enquiry,an instance of questioning
enraged,put into a rage; make violently angry
enslave,make a slave of; bring into servitude
ensnare,take or catch as if in a snare or trap
ensnarl,entangle or catch in (or as if in) a mesh
ensuant,following or accompanying as a consequence
entasis,a slight convexity in the shaft of a column; compensates for the illusion of concavity that viewers experience when the sides are perfectly straight
entente,an informal alliance between countries
enteral,of or relating to the enteron
enteric,of or relating to the enteron
enteron,the alimentary canal (especially of an embryo or a coelenterate)
enthral,hold spellbound
enthuse,cause to feel enthusiasm
entitle,give the right to
entozoa,any of various parasites that live in the internal organs of animals (especially intestinal worms)
entrain,board a train
entrant,a commodity that enters competition with established merchandise
entreat,ask for or request earnestly
entropy,(communication theory) a numerical measure of the uncertainty of an outcome
entrust,confer a trust upon
entwine,tie or link together
envelop,enclose or enfold completely with or as if with a covering
envenom,cause to be bitter or resentful
envious,showing extreme cupidity; painfully desirous of another's advantages
environ,extend on all sides of simultaneously; encircle
envying,feel envious towards; admire enviously
epacris,any heathlike evergreen shrub of the genus Epacris grown for their showy and crowded spikes of small bell-shaped or tubular flowers
eparchy,a province in ancient Greece
epaulet,adornment consisting of an ornamental cloth pad worn on the shoulder
epergne,a large table centerpiece with branching holders for fruit or sweets or flowers
ephedra,jointed and nearly leafless desert shrub having reduced scalelike leaves and reddish fleshy seeds
epicarp,outermost layer of the pericarp of fruits as the skin of a peach or grape
epicene,one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made
epicure,a person devoted to refined sensuous enjoyment (especially good food and drink)
epigaea,small creeping evergreen shrubs: trailing arbutus
epigone,an inferior imitator of some distinguished writer or artist of musician
epigram,a witty saying
epilate,remove body hair
episode,a happening that is distinctive in a series of related events
epistle,"a specially long, formal letter"
epitaph,an inscription on a tombstone or monument in memory of the person buried there
epithet,a defamatory or abusive word or phrase
epitome,a standard or typical example
epizoan,any external parasitic organism (as fleas)
epizoic,living or growing on the exterior surface of an animal usually as a parasite
epizoon,any external parasitic organism (as fleas)
epochal,highly significant or important especially bringing about or marking the beginning of a new development or era
eponymy,the derivation of a general name from that of a famous person
epsilon,the 5th letter of the Greek alphabet
equable,not varying
equably,in an equable manner
equally,to the same degree (often followed by `as')
equator,an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
equerry,an official charged with the care of the horses of princes or nobles
equinox,either of two times of the year when the sun crosses the plane of the earth's equator and day and night are of equal length
equiped,provide with (something) usually for a specific purpose
erasmus,"Dutch humanist and theologian who was the leading Renaissance scholar of northern Europe; although his criticisms of the Roman Catholic Church led to the Reformation, he opposed violence and condemned Martin Luther (1466-1536)"
erasure,a correction made by erasing
erecter,upright in position or posture
erectly,in a straight-backed manner
eremite,a Christian recluse
ergodic,positive recurrent aperiodic state of stochastic systems; tending in probability to a limiting form that is independent of the initial conditions
ergotic,relating to or produced by ergot
eristic,a person who disputes; who is good at or enjoys controversy
ermines,the expensive white fur of the ermine
erodium,geraniums of Europe and South America and Australia especially mountainous regions
erosion,(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
erosive,wearing away by friction
erotica,creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
erotism,a state of anticipation of sexuality
errancy,(Christianity) holding views that disagree with accepted doctrine; especially disagreement with papal infallibility
erratic,liable to sudden unpredictable change
erratum,a mistake in printed matter resulting from mechanical failures of some kind
errhine,causing nasal discharge
erudite,having or showing profound knowledge
erwinia,rod-shaped motile bacteria that attack plants
escapee,someone who escapes
escheat,a reversion to the state (as the ultimate owner of property) in the absence of legal heirs
escolar,large snake mackerel with rings like spectacles around its eyes
espouse,"choose and follow; as of theories, ideas, policies, strategies or plans"
esquire,(Middle Ages) an attendant and shield bearer to a knight; a candidate for knighthood
essayer,one who tries
esselen,a member of a North American Indian people living on the California coast near Monterey
essence,the choicest or most essential or most vital part of some idea or experience
estival,(rare) of or occurring in summer
estriol,a naturally occurring estrogenic hormone; a synthetic form is used to treat estrogen deficiency
estrone,a naturally occurring weak estrogenic hormone secreted by the mammalian ovary; synthesized (trade name Estronol) and used to treat estrogen deficiency
estrous,(of lower mammals) showing or in a state of estrus; in heat
estuary,the wide part of a river where it nears the sea; fresh and salt water mix
etamine,a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc.
etching,an impression made from an etched plate
eternal,continuing forever or indefinitely
ethanal,a colorless volatile water-soluble liquid aldehyde used chiefly in the manufacture of acetic acid and perfumes and drugs
ethanol,the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline
ethical,of or relating to the philosophical study of ethics
ethmoid,one of the eight bones of the cranium; a small bone filled with air spaces that forms part of the eye sockets and the nasal cavity
etonian,a student enrolled in (or graduated from) Eton College
eugenia,tropical trees and shrubs with aromatic leaves and often valuable hard wood
eugenic,pertaining to or causing improvement in the offspring produced
euglena,minute single-celled green freshwater organism having a single flagella; often classed as algae
eumenes,mason wasps
euphony,any agreeable (pleasing and harmonious) sounds
euphory,a feeling of great (usually exaggerated) elation
euryale,(Greek mythology) one of the three Gorgons
euterpe,a monocotyledonous genus of graceful palm trees in tropical America
evacuee,a person who has been evacuated from a dangerous place
evangel,"the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings"
evasion,a statement that is not literally false but that cleverly avoids an unpleasant truth
evasive,deliberately vague or ambiguous
evening,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
evernia,lichens of the family Usneaceae having a pendulous or shrubby thallus
evident,clearly revealed to the mind or the senses or judgment
exacter,marked by strict and particular and complete accordance with fact
exactly,indicating exactness or preciseness
exalted,"praise, glorify, or honor"
examine,consider in detail and subject to an analysis in order to discover essential features or meaning
example,an item of information that is typical of a class or group
excerpt,a passage selected from a larger work
excited,arouse or elicit a feeling
exclaim,"utter aloud; often with surprise, horror, or joy"
exclude,prevent from being included or considered or accepted
excreta,waste matter (as urine or sweat but especially feces) discharged from the body
excrete,eliminate from the body
excuser,a person who pardons or forgives or excuses a fault or offense
execute,kill as a means of socially sanctioned punishment
exegete,a person skilled in exegesis (especially of religious texts)
exhaust,gases ejected from an engine as waste products
exhibit,an object or statement produced before a court of law and referred to while giving evidence
exigent,demanding attention; ; ; - H.L.Mencken
exocarp,outermost layer of the pericarp of fruits as the skin of a peach or grape
exoderm,the outer germ layer that develops into skin and nervous tissue
exogamy,marriage to a person belonging to a tribe or group other than your own as required by custom or law
exordia,(rhetoric) the introductory section of an oration or discourse
exotism,the quality of being exotic
expanse,a wide scope
expense,amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
expiate,make amends for
explain,make plain and comprehensible
explode,cause to burst with a violent release of energy
exploit,a notable achievement
explore,inquire into
exposed,expose or make accessible to some action or influence
exposit,state
expound,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing"
express,mail that is distributed by a rapid and efficient system
expunge,remove by erasing or crossing out or as if by drawing a line
extinct,no longer in existence; lost or especially having died out leaving no living representatives
extract,a solution obtained by steeping or soaking a substance (usually in water)
extreme,the furthest or highest degree of something
extrude,form or shape by forcing through an opening
exudate,a substance that oozes out from plant pores
exuviae,cast-off skins or coverings of various organisms during ecdysis
exuvial,of or relating to the cast-off skins or cuticles of various animals
eyeball,the ball-shaped capsule containing the vertebrate eye
eyebrow,the arch of hair above each eye
eyedrop,a drop from an eye dropper
eyehole,a hole (in a door or an oven etc) through which you can peep
eyelash,any of the short curved hairs that grow from the edges of the eyelids
eyeless,lacking eyes or eyelike features
eyelike,suggesting an eye or eyes
eyeshot,the range of the eye
eyesore,something very ugly and offensive
eyespot,an eyelike marking (as on the wings of some butterflies); usually a spot of color inside a ring of another color
eyewash,lotion consisting of a solution used as a cleanser for the eyes
ezekiel,a Hebrew prophet of the 6th century BC who was exiled to Babylon in 587 BC
faceted,having facets
faction,a clique (often secret) that seeks power usually through intrigue
factory,a plant consisting of one or more buildings with facilities for manufacturing
factual,existing in act or fact
faculty,one of the inherent cognitive or perceptual powers of the mind
faddish,intensely fashionable for a short time
faddist,a person who subscribes to a variety of fads
fagales,an order of dicotyledonous trees of the subclass Hamamelidae
fagging,"act as a servant for older boys, in British public schools"
faience,glazed earthenware decorated with opaque colors
failing,a flaw or weak point
failure,an act that fails
fainter,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc
faintly,to a faint degree or weakly perceived
fairing,join so that the external surfaces blend smoothly
fairish,not excessive or extreme
fairway,the area between the tee and putting green where the grass is cut short
falange,the Spanish Nazi party under Franco
falcate,curved like a sickle
fallacy,a misconception resulting from incorrect reasoning
falling,descend in free fall under the influence of gravity
falsely,in an insincerely false manner
falsify,make false by mutilation or addition; as of a message or story
famulus,a close attendant (as to a scholar)
fanatic,a person motivated by irrational enthusiasm (as for a cause); --Winston Churchill
fancied,imagine; conceive of; see in one's mind
fancier,a person having a strong liking for something
fancify,make more beautiful
fanfare,a gaudy outward display
fanlike,resembling a fan
fanning,"strike out (a batter), (of a pitcher)"
fantail,an overhang consisting of the fan-shaped part of the deck extending aft of the sternpost of a ship
fantast,someone who predicts the future
fantasy,imagination unrestricted by reality
fanweed,foetid Eurasian weed having round flat pods; naturalized throughout North America
fanwort,common aquatic plant of eastern North America having floating and submerged leaves and white yellow-spotted flowers
faraday,the English physicist and chemist who discovered electromagnetic induction (1791-1867)
faraway,very far away in space or time
farcing,fill with a stuffing while cooking
farming,the practice of cultivating the land or raising stock
farness,the property of being remote
faroese,a Scandinavian language (closely related to Icelandic) that is spoken on the Faroe Islands
farrago,a motley assortment of things
farrier,a person who shoes horses
farther,more distant in especially space or time
fascism,a political theory advocating an authoritarian hierarchical government (as opposed to democracy or liberalism)
fascist,an adherent of fascism or other right-wing authoritarian views
fashion,how something is done or how it happens
fasting,abstaining from food
fatally,with fatal consequences or implications
fateful,having momentous consequences; of decisive importance; - Saturday Rev
fathead,a man who is a stupid incompetent fool
fatigue,temporary loss of strength and energy resulting from hard physical or mental work
fatless,without fat or fat solids
fatness,excess bodily weight
fattish,somewhat fat
fatuity,a ludicrous folly
fatuous,devoid of intelligence
fauvism,an art movement launched in 1905 whose work was characterized by bright and nonnatural colors and simple forms; influenced the expressionists
fauvist,a member of a group of French painters who followed fauvism
favored,promote over another
fawning,show submission or fear
fearful,experiencing or showing fear
feather,the light horny waterproof structure forming the external covering of birds
feature,a prominent attribute or aspect of something
febrile,of or relating to or characterized by fever
federal,a member of the Union Army during the American Civil War
feeding,the act of consuming food
feeling,the experiencing of affective and emotional states
feigned,make believe with the intent to deceive
felidae,cats; wildcats; lions; leopards; cheetahs; saber-toothed tigers
fellata,a member of a pastoral and nomadic people of western Africa; they are traditionally cattle herders of Muslim faith
felling,cause to fall by or as if by delivering a blow
felting,mat together and make felt-like
felucca,a fast narrow sailing ship of the Mediterranean
felwort,gentian of Europe and China having creamy white flowers with fringed corollas
femoral,of or relating to or near the femur or thigh
fencing,a barrier that serves to enclose an area
fenland,low-lying wet land with grassy vegetation; usually is a transition zone between land and water
ferment,a state of agitation or turbulent change or development
ferrara,a city in northern Italy
ferrite,a solid solution in which alpha iron is the solvent
ferrous,of or relating to or containing iron
ferrule,a metal cap or band placed on a wooden pole to prevent splitting
fertile,capable of reproducing
fervent,characterized by intense emotion
festive,offering fun and gaiety
festoon,a curtain of fabric draped and bound at intervals to form graceful curves
festuca,a genus of tufted perennial grasses of the family Gramineae
fetched,go or come after and bring or take back
fetlock,the joint between the cannon bone and the pastern
fewness,the quality of being small in number
fiancee,a woman who is engaged to be married
fibroid,benign tumor containing fibrous tissue (especially in the uterus)
fibroma,nonmalignant tumor of connective tissue
fibrous,having or resembling fibers especially fibers used in making cordage such as those of jute
fibulae,the outer and thinner of the two bones of the human leg between the knee and ankle
fictile,of or relating to the craft of pottery
fiction,a literary work based on the imagination and not necessarily on fact
fictive,adopted in order to deceive
fiddler,a musician who plays the violin
fidgety,nervous and unable to relax
fiefdom,the domain controlled by a feudal lord
fielded,catch or pick up (balls) in baseball or cricket
fielder,a member of the baseball team that is in the field instead of at bat
fierily,with passionate fervor
fifteen,the cardinal number that is the sum of fourteen and one
fifthly,in the fifth place
fighter,someone who fights (or is fighting)
figment,a contrived or fantastic idea
figural,consisting of or forming human or animal figures; ; - Herbert Read
figured,judge to be probable
figurer,an expert at calculation (or at operating calculating machines)
figwort,any of numerous tall coarse woodland plants of the genus Scrophularia
filaria,European weed naturalized in southwestern United States and Mexico having reddish decumbent stems with small fernlike leaves and small deep reddish-lavender flowers followed by slender fruits that stick straight up; often grown for forage
filbert,small nut-bearing tree much grown in Europe
filiate,fix the paternity of
filings,the entering of a legal document into the public record
filling,any material that fills a space or container
filmdom,the personnel of the film industry
fimbria,thin projections forming a fringe (especially around the ovarian end of the Fallopian tube)
finable,liable to a fine
finagle,achieve something by means of trickery or devious methods
finally,after an unspecified period of time or an especially long delay
finance,the commercial activity of providing funds and capital
finback,large flat-headed whalebone whale having deep furrows along the throat; of Atlantic and Pacific
finding,"the act of determining the properties of something, usually by research or calculation"
finesse,subtly skillful handling of a situation
finical,exacting especially about details
finland,republic in northern Europe; achieved independence from Russia in 1917
finnish,the official language of Finland; belongs to the Baltic Finnic family of languages
firearm,a portable gun
firebox,a furnace (as on a steam locomotive) in which fuel is burned
firebug,a criminal who illegally sets fire to property
firedog,metal supports for logs in a fireplace
firefly,tropical American click beetle having bright luminous spots
fireman,play in which children pretend to put out a fire
firstly,before anything else
fishery,a workplace where fish are caught and processed and sold
fisheye,of or relating to a fisheye lens
fishgig,an implement with a shaft and barbed point used for catching fish
fishily,in a questionably unusual manner
fishing,the act of someone who fishes as a diversion
fissile,capable of undergoing nuclear fission
fission,reproduction of some unicellular organisms by division of the cell into two more or less equal parts
fissure,a long narrow depression in a surface
fistful,the quantity that can be held in the hand
fistula,a chronic inflammation of the withers of a horse
fitment,any of the items furnishing or equipping a room (especially built-in furniture)
fitness,the quality of being suitable
fitters,someone who fits a garment to a particular person
fitting,making or becoming suitable; adjusting to circumstances
fixedly,in a fixed manner
fixture,an object firmly fixed in place (especially in a household)
flaccid,drooping without elasticity; wanting in stiffness
flaming,the process of combustion of inflammable materials producing heat and light and (often) smoke
flanked,be located at the sides of something or somebody
flanker,a back stationed wide of the scrimmage line; used as a pass receiver
flannel,a soft light woolen fabric; used for clothing
flapper,a young woman in the 1920s who flaunted her unconventional conduct and dress
flaring,burn brightly
flasher,someone with a compulsive desire to expose the genitals
flatcar,freight car without permanent sides or roof
flatlet,a tiny flat
flatten,make flat or flatter
flatter,praise somewhat dishonestly
flattop,a closely cropped haircut; usually for men
flaunty,inclined to flaunt
flavone,a colorless crystalline compound that is part of a number of white or yellow plant pigments
flavour,the general atmosphere of a place or situation and the effect that it has on people
fleeced,rip off; ask an unreasonable price
fleeter,moving very fast
fleetly,in a swift manner
fleming,British writer famous for writing spy novels about secret agent James Bond (1908-1964)
flemish,an ethnic group speaking Flemish and living in northern and western Belgium
fleshed,remove adhering flesh from (hides) when preparing leather manufacture
fleshly,marked by the appetites and passions of the body
flexile,able to flex; able to bend easily
flexion,the state of being flexed (as of a joint)
flexure,the state of being flexed (as of a joint)
flicker,a momentary flash of light
flighty,guided by whim and fancy
flinter,showing unfeeling resistance to tender feelings
flipper,a shoe for swimming; the paddle-like front is an aid in swimming (especially underwater)
fliting,move along rapidly and lightly; skim or dart
flitter,move back and forth very rapidly
floater,spots before the eyes caused by opaque cell fragments in the vitreous humor and lens
flogger,a torturer who flogs or scourges (especially an official whose duty is to whip offenders)
flooded,fill quickly beyond capacity; as with a liquid
floreal,eighth month of the Revolutionary calendar (April and May); the month of flowers
florida,a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War
florist,someone who grows and deals in flowers
flotsam,the floating wreckage of a ship
flounce,a strip of pleated material used as a decoration or a trim
flouter,someone who jeers or mocks or treats something with contempt or calls out in derision
flowage,gradual internal motion or deformation of a solid body (as by heat)
flowery,of or relating to or suggestive of flowers
flowing,the motion characteristic of fluids (liquids or gases)
fluency,powerful and effective language
flummox,be a mystery or bewildering to
flusher,"of a surface exactly even with an adjoining one, forming the same plane"
fluster,a disposition that is confused or nervous and upset
fluting,a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)
flutist,someone who plays the flute
flutter,the act of moving back and forth
fluvial,of or relating to or happening in a river
fluxion,a flow or discharge
flyaway,guided by whim and fancy
flyleaf,a blank leaf in the front or back of a book
flytrap,a trap for catching flies
foaming,become bubbly or frothy or foaming
focally,in a focal manner
foghorn,a loud low warning signal that can be heard by fogbound ships
fogyish,(used pejoratively) out of fashion; old fashioned
foiling,an act of hindering someone's plans or efforts
folding,the process whereby a protein molecule assumes its intricate three-dimensional shape
foliage,the main organ of photosynthesis and transpiration in higher plants
foliate,hammer into thin flat foils
foliose,bearing numerous leaves
fomites,any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another
fondant,candy made of a thick creamy sugar paste
fondler,a lover who gently fondles and caresses the loved one
foolery,foolish or senseless behavior
fooling,make a fool or dupe of
foolish,devoid of good sense or judgment
footage,film that has been shot
footing,status with respect to the relations between people or groups
footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores
footpad,a highwayman who robs on foot
foppish,affecting extreme elegance in dress and manner
forager,someone who hunts for food and provisions
foramen,a natural opening or perforation through a bone or a membranous structure
forbade,command against
forbear,a person from whom you are descended
forbore,refrain from doing
forceps,an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies)
forcing,"to cause to do through pressure or necessity, by physical, moral or intellectual means :"
fording,the act of crossing a stream or river by wading or in a car or on a horse
forearm,the part of the superior limb between the elbow and the wrist
foreign,of concern to or concerning the affairs of other nations (other than your own)
foreleg,the forelimb of a quadruped
foreman,a person who exercises control over workers
forepaw,front paw; analogous to the human hand
foresee,realize beforehand
foretop,a platform at the head of a foremast
forever,for a limitless time; ; - P.P.Bliss
forfeit,something that is lost or surrendered as a penalty
forfend,prevent the occurrence of; prevent from happening
forgery,a copy that is represented as the original
forging,shaping metal by heating and hammering
forgive,stop blaming or grant forgiveness
forlorn,marked by or showing hopelessness
formica,any of various plastic laminates containing melamine
forming,create (as an entity)
formula,a group of symbols that make a mathematical statement
forrard,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations)
forsake,leave someone who needs or counts on you; leave in the lurch
forties,the time of life between 40 and 50
fortify,make strong or stronger
fortune,an unknown and unpredictable phenomenon that causes an event to result one way rather than another
forward,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey"
forwent,do without or cease to hold or adhere to
foulard,a light plain-weave or twill-weave silk or silklike fabric (usually with a printed design)
fouling,hit a foul ball
foumart,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
founder,inflammation of the laminated tissue that attaches the hoof to the foot of a horse
foundry,factory where metal castings are produced
fowling,hunt fowl
foxhole,a small dugout with a pit for individual shelter against enemy fire
foxtail,grasses of the genera Alopecurus and Setaria having dense silky or bristly brushlike flowering spikes
fragile,easily broken or damaged or destroyed
frailty,the state of being weak in health or body (especially from old age)
framing,formulation of the plans and important details
frances,a republic in western Europe; the largest country wholly in Europe
franker,characterized by directness in manner or speech; without subtlety or evasion
frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that
frantic,excessively agitated; distraught with fear or other violent emotion
frasera,genus of North American herbs: columbo; includes some species sometimes placed in genus Swertia
fraught,marked by distress
fraying,wear away by rubbing
frazzle,a state of extreme exhaustion
freckle,a small brownish spot (of the pigment melanin) on the skin
freedom,the condition of being free; the power to act or speak or think without externally imposed restraints
freeing,the act of liberating someone or something
freeman,a person who is not a serf or a slave
freesia,any of several plants of the genus Freesia valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers
freeway,a broad highway designed for high-speed traffic
freezer,electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time
fregata,type genus of the Fregatidae
freight,goods carried by a large vehicle
freshen,make (to feel) fresh
freshet,the occurrence of a water flow resulting from sudden rain or melting snow
freshly,very recently
fresnel,French physicist who invented polarized light and invented the Fresnel lens (1788-1827)
fretful,nervous and unable to relax
fretted,worry unnecessarily or excessively
friable,easily broken into small fragments or reduced to powder
frigate,a medium size square-rigged warship of the 18th and 19th centuries
frilled,having decorative ruffles or frills
fringed,adorn with a fringe
frisian,a native or inhabitant of Friesland or Frisia
fritter,small quantity of fried batter containing fruit or meat or vegetables
frizzle,fry something until it curls and becomes crisp
frizzly,(of hair) in small tight curls
frogbit,European floating plant with roundish heart-shaped leaves and white flowers
frogged,hunt frogs for food
frogman,someone who works underwater
frontal,an adornment worn on the forehead
fronted,"be oriented in a certain direction, often with respect to another reference point; be opposite to"
fronter,relating to or located in the front
frosted,decorate with frosting
froward,habitually disposed to disobedience and opposition
frowsty,stale and unclean smelling
fruited,cause to bear fruit
frustum,a truncated cone or pyramid; the part that is left when a cone or pyramid is cut by a plane parallel to the base and the apical part is removed
fucales,coextensive with the family Fucaceae
fuchsia,any of various tropical shrubs widely cultivated for their showy drooping purplish or reddish or white flowers; Central and South America and New Zealand and Tahiti
fugally,in a fugal style
fulcrum,the pivot about which a lever turns
fulfill,put in effect
fulgent,shining intensely
fulling,beat for the purpose of cleaning and thickening
fulsome,unpleasantly and excessively suave or ingratiating in manner or speech
fumaria,annual herbs whose flowers have only one petal spurred at the base
fumbler,someone who makes mistakes because of incompetence
funeral,a ceremony at which a dead person is buried or cremated
fungoid,resembling fungi
fungous,of or relating to fungi
funicle,the stalk of a plant ovule or seed
funnily,in a strange manner
furbish,polish and make shiny
furcate,divide into two or more branches so as to form a fork
furcula,a forked bone formed by the fusion of the clavicles of most birds
furious,marked by extreme and violent energy
furlong,a unit of length equal to 220 yards
furnace,"an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc."
furnish,give something useful or necessary to
furrier,someone whose occupation is making or repairing fur garments
furring,a furlike coating of matter as on the tongue
further,promote the growth of
furtive,marked by quiet and caution and secrecy; taking pains to avoid being observed
fuscous,of something having a dusky brownish grey color
fusible,capable of being melted and fused
fussily,in a fussy manner
fustian,pompous or pretentious talk or writing
gabriel,(Bible) the archangel who was the messenger of God
gadding,wander aimlessly in search of pleasure
gadidae,large family of important mostly marine food fishes
gainful,yielding a fair profit
gaining,obtain
gainsay,take exception to
galatea,(Greek mythology) a maiden who was first a sculpture created by Pygmalion and was brought to life by Aphrodite in answer to Pygmalion's prayers
galilee,an area of northern Israel; formerly the northern part of Palestine and the ancient kingdom of Israel; the scene of Jesus's ministry
gallant,a man who is much concerned with his dress and appearance
galleon,a large square-rigged sailing ship with three or more masts; used by the Spanish for commerce and war from the 15th to 18th centuries
gallery,spectators at a golf or tennis match
gallfly,small solitary wasp that produces galls on oaks and other plants
galling,become or make sore by or as if by rubbing
