word,definition
egger,moth having nonfunctional mouthparts as adults; larvae feed on tree foliage and spin egg-shaped cocoons
egret,any of various usually white herons having long plumes during breeding season
egypt,a republic in northeastern Africa known as the United Arab Republic until 1971; site of an ancient civilization that flourished from 2600 to 30 BC
eider,duck of the northern hemisphere much valued for the fine soft down of the females
eight,the cardinal number that is the sum of seven and one
eject,put out or expel from a place
eland,either of two large African antelopes of the genus Taurotragus having short spirally twisted horns in both sexes
elate,fill with high spirits; fill with optimism
elbow,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
elder,a person who is older than you are
elect,an exclusive group of people
elegy,a mournful poem; a lament for the dead
elemi,fragrant resin obtain from trees of the family Burseraceae and used as incense
elfin,suggestive of an elf in strangeness and otherworldliness; ; - John Mason Brown
elias,English essayist (1775-1834)
elide,leave or strike out
eliot,British poet (born in the United States) who won the Nobel prize for literature; his plays are outstanding examples of modern verse drama (1888-1965)
elite,a group or class of persons enjoying superior intellectual or social or economic status
elope,run away secretly with one's beloved
elops,type genus of the Elopidae: tenpounder
elude,"escape, either physically or mentally"
elute,"wash out with a solvent, as in chromatography"
elver,young eel; may be sauteed or batter-fried
elves,an acronym for emissions of light and very low frequency perturbations due to electromagnetic pulse sources; extremely bright extremely short (less than a msec) electrical flashes forming a huge ring (up to 400 km diameter) in the ionosphere
elvis,street name for lysergic acid diethylamide
embed,fix or set securely or deeply
ember,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
emcee,a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers)
emeer,an independent ruler or chieftain (especially in Africa or Arabia)
emend,make improvements or corrections to
emery,a hard grey-black mineral consisting of corundum and either hematite or magnetite; used as an abrasive (especially as a coating on paper)
emmer,hard red wheat grown especially in Russia and Germany; in United States as stock feed
emmet,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
emote,"give expression or emotion to, in a stage or movie role"
empty,a container that has been emptied
enact,order by virtue of superior authority; decree
enate,one related on the mother's side
ended,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical"
endow,give qualities or abilities to
endue,give qualities or abilities to
enema,an injection of a liquid through the anus to stimulate evacuation; sometimes used for diagnostic purposes
enemy,an opposing military force
enjoy,derive or receive pleasure from; get enjoyment from; take pleasure in
ennui,the feeling of being bored by something tedious
enrol,register formally as a participant or member
ensky,exalt to the skies; lift to the skies or to heaven with praise
ensue,"issue or terminate (in a specified way, state, etc.); end"
enter,to come or go into
entry,an item inserted in a written record
envoy,a diplomat having less authority than an ambassador
eosin,a red fluorescent dye resulting from the action of bromine on fluorescein; used in cosmetics and as a biological stain for studying cell structures
ephah,an ancient Hebrew unit of dry measure equal to about a bushel
epoch,a period marked by distinctive character or reckoned from a fixed point or event
equal,a person who is of equal standing with another in a group
equid,hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
equip,provide with (something) usually for a specific purpose
equus,type genus of the Equidae: only surviving genus of the family Equidae
erase,remove from memory or existence
erect,"construct, build, or erect"
ergot,a plant disease caused by the ergot fungus
erica,any plant of the genus Erica
ernst,"painter (born in Germany, resident of France and the United States) who was a cofounder of dadaism; developed the technique of collage (1891-1976)"
erode,become ground down or deteriorate
erose,having an irregularly notched or toothed margin as though gnawed
error,a wrong action attributable to bad judgment or ignorance or inattention
eruca,annual to perennial herbs of the Mediterranean region
eruct,"eject or send out in large quantities, also metaphorical"
erupt,start abruptly
esker,(geology) a long winding ridge of post glacial gravel and other sediment; deposited by meltwater from glaciers or ice sheets
essay,an analytic or interpretive literary composition
essex,a county in southeastern England on the North Sea and the Thames estuary
ester,formed by reaction between an acid and an alcohol with elimination of water
ether,the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies
ethic,the principles of right and wrong that are accepted by an individual or a social group
ethos,(anthropology) the distinctive spirit of a culture or an era
ethyl,the univalent hydrocarbon radical C2H5 derived from ethane by the removal of one hydrogen atom
etude,a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity
evade,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
evens,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
event,something that happens at a given place and time
evert,United States tennis player who won women's singles titles in the United States and at Wimbledon (born in 1954)
every,(used of count nouns) each and all of the members of a group considered singly and without exception
evict,expel or eject without recourse to legal process
evoke,"call forth (emotions, feelings, and responses)"
exact,claim as due or just
exalt,"praise, glorify, or honor"
excel,distinguish oneself
exert,put to use
exile,a person who is voluntarily absent from home or country
exist,"have an existence, be extant"
exode,a farcical afterpiece in the ancient Roman theater
expel,force to leave or move out
extol,"praise, glorify, or honor"
extra,a minor actor in crowd scenes
exude,release (a liquid) in drops or small quantities
exult,feel extreme happiness or elation
eying,look at
eyrie,the lofty nest of a bird of prey (such as a hawk or eagle)
eyrir,100 aurar equal 1 krona in Iceland
fable,a deliberately false or improbable account
faced,deal with (something unpleasant) head on
facer,(a dated Briticism) a serious difficulty with which one is suddenly faced
facet,a distinct feature or element in a problem
facia,a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc
faddy,intensely fashionable for a short time
faded,become less clearly visible or distinguishable; disappear gradually or seemingly
faery,"a small being, human in form, playful and having magical powers"
fagot,offensive term for an openly homosexual man
fagus,beeches
faint,a spontaneous loss of consciousness caused by insufficient blood to the brain
fairy,"a small being, human in form, playful and having magical powers"
faith,a strong belief in a supernatural power or powers that control human destiny
faker,a person who makes deceitful pretenses
fakir,a Muslim or Hindu mendicant monk who is regarded as a holy man
falco,a genus of Falconidae
false,not in accordance with the fact or reality or actuality
fancy,something many people believe that is false
fanny,the fleshy part of the human body that you sit on
farad,the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates
farce,a comedy characterized by broad satire and improbable situations
farer,located at a great distance in time or space or degree
farsi,a person of Iranian descent
fatal,bringing death
fated,decree or designate beforehand
fatty,a rotund individual
fauld,a piece of armor plate below the breastplate
fault,a wrong action attributable to bad judgment or ignorance or inattention
fauna,all the animal life in a particular region or period
faust,an alchemist of German legend who sold his soul to Mephistopheles in exchange for knowledge
fauve,a member of a group of French painters who followed fauvism
favor,an act of gracious kindness
favus,a contagious fungal infection of the scalp; occurs mainly in Africa and the Middle East
feast,a ceremonial dinner party for many people
fecal,of or relating to feces
feces,solid excretory product evacuated from the bowels
feign,make believe with the intent to deceive
feint,any distracting or deceptive maneuver (as a mock attack)
feist,a nervous belligerent little mongrel dog
felid,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws"
felis,type genus of the Felidae: true cats and most wildcats
felly,rim (or part of the rim) into which spokes are inserted
felon,someone who has committed a crime or has been legally convicted of a crime
femur,the longest and thickest bone of the human skeleton; extends from the pelvis to the knee
fence,a barrier that serves to enclose an area
feoff,a piece of land held under the feudal system
feral,wild and menacing
feria,a weekday on which no festival or holiday is celebrated
ferny,abounding in or covered with ferns
ferry,a boat that transports people or vehicles across a body of water and operates on a regular schedule
fetal,of or relating to a fetus
fetch,the action of fetching
fetid,offensively malodorous
fetor,a distinctive odor that is offensively unpleasant
fetus,an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
fever,a rise in the temperature of the body; frequently a symptom of infection
fiber,a slender and greatly elongated substance capable of being spun into yarn
fichu,a lightweight triangular scarf worn by a woman
ficus,large genus of tropical trees or shrubs or climbers including fig trees
field,a piece of land cleared of trees and usually enclosed
fiend,a cruel wicked and inhuman person
fiery,characterized by intense emotion
fifth,a quantity of liquor equal to one fifth of a United States gallon
fifty,the cardinal number that is the product of ten and five
fight,a hostile meeting of opposing military forces in the course of a war
filar,related to or having filaments (especially across a field of view as in the eyepiece of a telescope)
filch,make off with belongings of others
filer,a party who files a notice with a law court
filet,a boneless steak cut from the tenderloin of beef
filly,a young female horse under the age of four
filmy,so thin as to transmit light
filth,any substance considered disgustingly foul or unpleasant
final,the final match between the winners of all previous matches in an elimination tournament
finch,any of numerous small songbirds with short stout bills adapted for crushing seeds
finer,(comparative of `fine') greater in quality or excellence
finis,the temporal end; the concluding time
fiord,a long narrow inlet of the sea between steep cliffs; common in Norway
fired,start firing a weapon
first,the first or highest in an ordering or series
firth,English linguist who contributed to linguistic semantics and to prosodic phonology and who was noted for his insistence on studying both sound and meaning in context (1890-1960)
fishy,of or relating to or resembling fish
fitch,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
fitly,in an appropriate manner
fiver,a United States bill worth 5 dollars
fives,a game resembling handball; played on a court with a front wall and two side walls
fixed,restore by replacing a part or putting together what is torn or broken
fixer,someone who intervenes with authorities for a person in trouble (usually using underhand or illegal methods for a fee)
fizzy,hissing and bubbling
flack,a slick spokesperson who can turn any criticism to the advantage of their employer
flail,an implement consisting of handle with a free swinging stick at the end; used in manual threshing
flair,a natural talent
flake,a crystal of snow
flaky,made of or resembling flakes
flame,the process of combustion of inflammable materials producing heat and light and (often) smoke
flank,the side of military or naval formation
flare,a shape that spreads outward
flash,a sudden intense burst of radiant energy
flask,bottle that has a narrow neck
fleck,a small fragment of something broken off from the whole
fleer,someone who flees from an uncongenial situation
fleet,group of aircraft operating together under the same ownership
flesh,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
flick,a light sharp contact (usually with something flexible)
flier,someone who travels by air
fling,a usually brief attempt
flint,a hard kind of stone; a form of silica more opaque than chalcedony
flirt,a seductive woman who uses her sex appeal to exploit men
float,the time interval between the deposit of a check in a bank and its payment
flock,a church congregation guided by a pastor
flood,the rising of a body of water and its overflowing onto normally dry land
floor,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
flora,all the plant life in a particular region or period
flory,United States chemist who developed methods for studying long-chain molecules (1910-1985)
floss,a soft loosely twisted thread used in embroidery
flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
flout,treat with contemptuous disregard
flown,travel through the air; be airborne
fluff,any light downy material
fluid,a substance that is fluid at room temperature and pressure
fluke,a stroke of luck
fluky,subject to accident or chance or change
flume,a narrow gorge with a stream running through it
flump,fall heavily
flung,throw with force or recklessness
flunk,failure to reach a minimum required performance
fluor,a soft mineral (calcium fluoride) that is fluorescent in ultraviolet light; chief source of fluorine
flush,the period of greatest prosperity or productivity
flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
flyer,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
foamy,producing or covered with lathery sweat or saliva from exhaustion or disease
focal,having or localized centrally at a focus
focus,the concentration of attention or energy on something
foehn,a warm dry wind that blows down the northern slopes of the Alps
fogey,someone whose style is out of fashion
foggy,stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
foist,to force onto another
folia,a thin layer or stratum of (especially metamorphic) rock
folie,(psychiatry) a psychological disorder of thought or emotion; a more neutral term than mental illness
folio,the system of numbering pages
folly,the trait of acting stupidly or rashly
fomes,genus of bracket fungi forming corky or woody perennial shelflike sporophores often of large size; includes some that cause destructive heartrot in trees
fondu,cubes of meat or seafood cooked in hot oil and then dipped in any of various sauces
foots,the part of the leg of a human being below the ankle joint
foray,a sudden short attack
force,a powerful effect or influence
forge,furnace consisting of a special hearth where metal is heated before shaping
forgo,do without or cease to hold or adhere to
forte,an asset of special worth or utility
forth,a river in southern Scotland that flows eastward to the Firth of Forth
forty,the cardinal number that is the product of ten and four
forum,a public meeting or assembly for open discussion
fossa,a concavity in a surface (especially an anatomical depression)
fosse,ditch dug as a fortification and usually filled with water
found,food and lodging provided in addition to money
fount,a specific size and style of type within a type family
fovea,area consisting of a small depression in the retina containing cones and where vision is most acute
foyer,a large entrance or reception room or area
frail,the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds
frame,the framework for a pair of eyeglasses
franc,the basic monetary unit in many countries; equal to 100 centimes
frank,a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
fraud,intentional deception resulting in injury to another person
freak,a person or animal that is markedly unusual or deformed
freed,grant freedom to; free from confinement
freer,able to act at will; not hampered; not under compulsion or restraint
freon,"any one or more chlorofluorocarbons (or related compounds) that are used as an aerosol propellant, organic solvent, or refrigerant"
fresh,"recently made, produced, or harvested"
freya,(Norse mythology) goddess of love and fecundity; daughter of Njorth and sister of Frey
freyr,(Norse mythology) god of earth's fertility and peace and prosperity; son of Njorth and brother of Freya; originally of the Vanir; later with the Aesir
friar,a male member of a religious order that originally relied solely on alms
fried,be excessively hot
frier,flesh of a medium-sized young chicken suitable for frying
frill,(paleontology) a bony plate that curves upward behind the skull of many ceratopsian dinosaurs
frisk,the act of searching someone for concealed weapons or illegal drugs
frizz,the condition of being formed into small tight curls
frock,a habit worn by clerics
frond,compound leaf of a fern or palm or cycad
front,the side that is forward or prominent
frore,very cold
frost,ice crystals forming a white deposit (especially on objects outside)
froth,a mass of small bubbles formed in or on a liquid
frown,a facial expression of dislike or displeasure
froze,stop moving or become immobilized
fruit,the ripened reproductive body of a seed plant
frump,a dull unattractive unpleasant girl or woman
fryer,flesh of a medium-sized young chicken suitable for frying
fucus,any member of the genus Fucus
fudge,soft creamy candy
fugal,of or relating to or in the style of a musical fugue
fuggy,(British informal) poorly ventilated
fugue,dissociative disorder in which a person forgets who they are and leaves home to creates a new life; during the fugue there is no memory of the former life; after recovering there is no memory for events during the dissociative state
fulah,a member of a pastoral and nomadic people of western Africa; they are traditionally cattle herders of Muslim faith
fully,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
fundi,(anatomy) the base of a hollow organ or that part of the organ farthest from its opening
funds,assets in the form of money
fungi,"the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants"
funky,offensively malodorous
funny,an account of an amusing incident (usually with a punch line)
furan,a colorless toxic flammable liquid used in the synthesis of nylon
furor,an interest followed with exaggerated zeal
furry,covered with a dense coat of fine silky hairs
furze,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
fused,mix together different elements
fusee,a spirally grooved spindle in a clock that counteracts the diminishing power of the uncoiling mainspring
fusil,a light flintlock musket
fussy,annoyed and irritable
fusty,stale and unclean smelling
fuzzy,covering with fine light hairs
gabby,full of trivial conversation
gable,the vertical triangular wall between the sloping ends of gable roof
gaddi,a cushion on a throne for a prince in India
gadus,type genus of the Gadidae: the typical codfishes
gaffe,a socially awkward or tactless act
gaily,in a gay manner
gains,a quantity that is added
galax,tufted evergreen perennial herb having spikes of tiny white flowers and glossy green round to heart-shaped leaves that become coppery to maroon or purplish in fall
galea,an organ shaped like a helmet; usually a vaulted and enlarged petal as in Aconitum
galen,Greek anatomist whose theories formed the basis of European medicine until the Renaissance (circa 130-200)
gamba,viol that is the bass member of the viol family with approximately the range of the cello
gamin,(sometimes offensive) a homeless boy who has been abandoned and roams the streets
gamma,the 3rd letter of the Greek alphabet
gammy,(British informal) sore or lame
gamut,a complete extent or range:
ganef,(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse)
ganja,a strong-smelling plant from whose dried leaves a number of euphoriant and hallucinogenic drugs are prepared
gapes,an expression of openmouthed astonishment
gassy,resembling gas
gated,supply with a gate
gator,either of two amphibious reptiles related to crocodiles but with shorter broader snouts
gaudy,(Britain) a celebratory reunion feast or entertainment held a college
gauge,a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
gaunt,very thin especially from disease or hunger or cold
gauss,a unit of magnetic flux density equal to 1 maxwell per square centimeter
gauze,(medicine) bleached cotton cloth of plain weave used for bandages and dressings
gauzy,so thin as to transmit light
gavel,a small mallet used by a presiding officer or a judge
gavia,type genus of the Gavidae: loons
gawky,lacking grace in movement or posture
gayal,ox of southeast Asia sometimes considered a domesticated breed of the gaur
gecko,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless
gelid,extremely cold
gelly,a type of dynamite in which the nitroglycerin is absorbed in a base of wood pulp and sodium or potassium nitrate
gemma,small asexual reproductive structure in e.g. liverworts and mosses that detaches from the parent and develops into a new individual
genet,French diplomat who in 1793 tried to draw the United States into the war between France and England (1763-1834)
genic,of or relating to or produced by or being a gene
genie,(Islam) an invisible spirit mentioned in the Koran and believed by Muslims to inhabit the earth and influence mankind by appearing in the form of humans or animals
genii,someone who has exceptional intellectual ability and originality
genip,tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp
genoa,a seaport in northwestern Italy; provincial capital of Liguria
genre,a kind of literary or artistic work
genua,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
genus,a general kind of something
geode,(mineralogy) a hollow rock or nodule with the cavity usually lined with crystals
germy,full of germs or pathological microorganisms
gesso,gypsum or plaster of Paris spread on a surface to make it suitable for painting or gilding (or a surface so prepared)
getup,a set of clothing (with accessories)
ghent,port city in northwestern Belgium and industrial center; famous for cloth industry
ghost,a mental representation of some haunting experience
ghoul,someone who takes bodies from graves and sells them for anatomical dissection
giant,any creature of exceptional size
giddy,having or causing a whirling sensation; liable to falling
gigot,lamb leg suitable for roasting
gimel,the 3rd letter of the Hebrew alphabet
girth,the distance around a person's body
given,an assumption that is taken for granted
giver,someone who devotes himself completely
glace,(used especially of fruits) preserved by coating with or allowing to absorb sugar
glade,a tract of land with few or no trees in the middle of a wooded area
gland,any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
glans,a small rounded structure; especially that at the end of the penis or clitoris
glare,a light within the field of vision that is brighter than the brightness to which the eyes are adapted
glary,shining intensely
glass,a brittle transparent solid with irregular atomic structure
glaux,sea milkwort
glaze,any of various thin shiny (savory or sweet) coatings applied to foods
gleam,an appearance of reflected light
glean,"gather, as of natural products"
gleba,fleshy spore-bearing inner mass of e.g. a puffball or stinkhorn
glebe,plot of land belonging to an English parish church or an ecclesiastical office
gleet,a thin morbid discharge as from a wound or especially chronic gonorrhea
glenn,made the first orbital rocket-powered flight by a United States astronaut in 1962; later in United States Senate (1921-)
glial,of or relating to neuroglia
glide,a vowellike sound that serves as a consonant
glint,a momentary flash of light
gloam,the time of day immediately following sunset
gloat,malicious satisfaction
globe,the 3rd planet from the sun; the planet we live on
gloom,a state of partial or total darkness
glory,a state of high honor
gloss,an explanation or definition of an obscure word in a text
glove,the handwear used by fielders in playing baseball
gluck,German composer of more than 100 operas (1714-1787)
glued,join or attach with or as if with glue
gluey,having the sticky properties of an adhesive
glume,small dry membranous bract found in inflorescences of Gramineae and Cyperaceae
glyph,glyptic art in the form of a symbolic figure carved or incised in relief
gnarl,something twisted and tight and swollen
gnash,"grind together, of teeth"
gnawn,bite or chew on with the teeth
gnome,a legendary creature resembling a tiny old man; lives in the depths of the earth and guards buried treasure
gobio,true gudgeons
godly,showing great reverence for god
going,the act of departing
golem,(Jewish folklore) an artificially created human being that is given life by supernatural means
golgi,Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926)
gonad,a gland in which gametes (sex cells) are produced
gondi,a Dravidian language spoken by the Gond in south central India
goner,a person in desperate straits; someone doomed
gonia,the craniometric point on either side at the apex of the lower jaw
gonne,Irish patriot and a founder of the Sinn Fein (1865-1953)
goods,benefit
goody,something considered choice to eat
goofy,a cartoon character created by Walt Disney
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
goosy,having or revealing stupidity
goral,small goat antelope with small conical horns; of southern Asian mountains
gorge,a deep ravine (usually with a river running through it)
gorse,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
gouda,mild cream-colored Dutch cheese shaped in balls
goudy,United States printer noted for designing typefaces (1865-1947)
gouge,an impression in a surface (as made by a blow)
gourd,bottle made from the dried shell of a bottle gourd
gouty,suffering from gout
goyim,a Christian as contrasted with a Jew
grace,(Christian theology) a state of sanctification by God; the state of one who is under such divine influence
grade,a body of students who are taught together
graft,(surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient
grail,the object of any prolonged endeavor
grain,a relatively small granular particle of a substance
grama,pasture grass of plains of South America and western North America
grand,the cardinal number that is the product of 10 and 100
grant,any monetary aid
grape,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
graph,a visual representation of the relations between certain quantities plotted with reference to a set of axes
grapy,having a taste like that of grapes
grasp,understanding of the nature or meaning or quality or magnitude of something
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
grate,a frame of iron bars to hold a fire
grave,death of a person
gravy,"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats"
graze,a superficial abrasion
great,a person who has achieved distinction and honor in some field
grebe,small compact-bodied almost completely aquatic bird that builds floating nests; similar to loons but smaller and with lobate rather than webbed feet
greed,excessive desire to acquire or possess more (especially more material wealth) than one needs or deserves
greek,the Hellenic branch of the Indo-European family of languages
green,green color or pigment; resembling the color of growing grass
greet,express greetings upon meeting someone
grief,intense sorrow caused by loss of a loved one (especially by death)
grill,a restaurant where food is cooked on a grill
grime,the state of being covered with unclean things
grimy,thickly covered with ingrained dirt or soot
grind,an insignificant student who is ridiculed as being affected or boringly studious
gripe,informal terms for objecting
grist,grain intended to be or that has been ground
grits,coarsely ground hulled corn boiled as a breakfast dish in the southern United States
groan,an utterance expressing pain or disapproval
groat,a former English silver coin worth four pennies
groin,the crease at the junction of the inner part of the thigh with the trunk together with the adjacent region and often including the external genitals
groom,a man participant in his own marriage ceremony
grope,the act of groping; and instance of groping
gross,twelve dozen
grosz,100 groszy equal 1 zloty in Poland
group,any number of entities (members) considered as a unit
grout,a thin mortar that can be poured and used to fill cracks in masonry or brickwork
grove,a small growth of trees without underbrush
growl,the sound of growling (as made by animals)
grown,"pass into a condition gradually, take on a specific property or attribute; become"
grubs,informal terms for a meal
gruel,a thin porridge (usually oatmeal or cornmeal)
gruff,brusque and surly and forbidding
grume,a thick viscous liquid
grump,a bad-tempered person
grunt,the short low gruff noise of the kind made by hogs
gruss,a small constellation in the southern hemisphere near Phoenix
guama,tropical tree of Central America and West Indies and Puerto Rico having spikes of white flowers; used as shade for coffee plantations
guano,the excrement of sea birds; used as fertilizer
guard,a person who keeps watch over something or someone
guava,small tropical shrubby tree bearing small yellowish fruit
guess,a message expressing an opinion based on incomplete evidence
guest,a visitor to whom hospitality is extended
guide,someone employed to conduct others
guild,a formal association of people with similar interests
guile,shrewdness as demonstrated by being skilled in deception
guilt,the state of having committed an offense
guise,an artful or simulated semblance
gulch,a narrow gorge with a stream running through it
gully,deep ditch cut by running water (especially after a prolonged downpour)
gumbo,any of various fine-grained silty soils that become waxy and very sticky mud when saturated with water
gumma,a small rubbery granuloma that is characteristic of an advanced stage of syphilis
gummy,having the sticky properties of an adhesive
gunny,coarse jute fabric
guppy,small freshwater fish of South America and the West Indies; often kept in aquariums
gushy,extravagantly demonstrative
gusto,vigorous and enthusiastic enjoyment
gusty,blowing in puffs or short intermittent blasts
gypsy,a laborer who moves from place to place as demanded by employment
gyral,relating to or associated with or comprising a convolution of the brain
gyrus,a convex fold or elevation in the surface of the brain
habit,an established custom
hades,(Greek mythology) the god of the underworld in ancient mythology; brother of Zeus and husband of Persephone
hadji,an Arabic term of respect for someone who has made the pilgrimage to Mecca
haida,a member of a seafaring group of North American Indians who lived on the Pacific coast of British Columbia and southwestern Alaska
hairy,having or covered with hair
hakea,Australian shrubs and small trees with evergreen usually spiny leaves and dense clusters of showy flowers
hakim,a Muslim ruler or governor or judge
hakka,"a member of a people of southeastern China (especially Hong Kong, Canton, and Taiwan) who migrated from the north in the 12th century"
halal,(Islam) meat from animals that have been slaughtered in the prescribed way according to the shariah
haler,100 halers equal 1 koruna Slovakia
halma,a board game in which players try to move their pieces into their opponent's bases
halve,divide by two; divide into halves
hammy,affectedly dramatic; overacted
handy,United States blues musician who transcribed and published traditional blues music (1873-1958)
hanky,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
haoma,leafless East Indian vine; its sour milky juice formerly used to make an intoxicating drink
haply,by accident
happy,enjoying or showing or marked by joy or pleasure
hardy,United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
harem,living quarters reserved for wives and concubines and female relatives in a Muslim household
harpy,a malicious woman with a fierce temper
harry,annoy continually or chronically
harsh,unpleasantly stern
haste,overly eager speed (and possible carelessness)
hasty,excessively quick
hatch,the production of young from an egg
hater,a person who hates
haulm,stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
haunt,a frequently visited place
hausa,a member of a Negroid people living chiefly in northern Nigeria
havel,Czech dramatist and statesman whose plays opposed totalitarianism and who served as president of Czechoslovakia from 1989 to 1992 and president of the Czech Republic since 1993 (born in 1936)
haven,a shelter serving as a place of safety or sanctuary
havoc,violent and needless disturbance
hawse,the hole that an anchor rope passes through
hazel,Australian tree grown especially for ornament and its fine-grained wood and bearing edible nuts
heady,marked by the exercise of good judgment or common sense in practical matters
heaps,a large number or amount
heart,the locus of feelings and intuitions
heath,a low evergreen shrub of the family Ericaceae; has small bell-shaped pink or purple flowers
heave,an upward movement (especially a rhythmical rising and falling)
heavy,an actor who plays villainous roles
hedge,a fence formed by a row of closely planted shrubs or bushes
hefty,(of a person) possessing physical strength and weight; rugged and powerful
heinz,United States industrialist who manufactured and sold processed foods (1844-1919)
helen,(Greek mythology) the beautiful daughter of Zeus and Leda who was abducted by Paris; the Greek army sailed to Troy to get her back which resulted in the Trojan War
helix,a curve that lies on the surface of a cylinder or cone and cuts the element at a constant angle
hello,an expression of greeting
helot,(Middle Ages) a person who is bound to the land and owned by the feudal lord
helve,the handle of a weapon or tool
hemal,relating to the blood vessels or blood
hemic,relating to or containing or affecting blood
hemin,a reddish-brown chloride of heme; produced from hemoglobin in laboratory tests for the presence of blood
hence,(used to introduce a logical conclusion) from that fact or reason or as a result
henna,a reddish brown dye used especially on hair
henry,a unit of inductance in which an induced electromotive force of one volt is produced when the current is varied at the rate of one ampere per second
herat,a city in northwestern Afghanistan on the site of several ancient cities
heron,Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
hertz,the unit of frequency; one hertz has a periodic interval of one second
hevea,small genus of South American trees yielding latex
hewer,a person who hews
hexad,the cardinal number that is the sum of five and one
hexer,of or pertaining to a number system having 16 as its base
hided,prevent from being seen or discovered
hiker,a foot traveler; someone who goes on an extended walk (for pleasure)
hilly,having hills and crags
hilum,(anatomy) a depression or fissure where vessels or nerves or ducts enter a bodily organ
hilus,(anatomy) a depression or fissure where vessels or nerves or ducts enter a bodily organ
hindi,the most widely spoken of modern Indic vernaculars; spoken mostly in the north of India; along with English it is the official language of India; usually written in Devanagari script
hindu,a native or inhabitant of Hindustan or India
hinge,a joint that holds two parts together so that one can swing relative to the other
hinny,hybrid offspring of a male horse and a female donkey or ass; usually sterile
hiper,informed about the latest trends
hippo,an ancient Numidian town in northwestern Africa adjoining present-day Annaba in northeastern Algeria
hippy,someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle
hired,engage or hire for work
hirer,a person responsible for hiring workers
hitch,a period of time spent in military service
hives,an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs
hoard,a secret store of valuables or money
hoary,"showing characteristics of age, especially having grey or white hair; -Coleridge"
hobby,an auxiliary activity
hogan,United States golfer who won many major golf tournaments (1912-1997)
hoist,lifting device for raising heavy or cumbersome objects
hokan,a family of Amerindian languages spoken in California
hokey,effusively or insincerely emotional
hokum,a message that seems to convey no meaning
holey,allowing passage in and out
holla,a very loud utterance (like the sound of an animal)
hollo,a very loud utterance (like the sound of an animal)
holly,any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
homer,a base hit on which the batter scores a run
homey,having a feeling of home; cozy and comfortable
hondo,the central and largest of the four main islands of Japan; between the Sea of Japan and the Pacific Ocean; regarded as the Japanese mainland
honey,a sweet yellow liquid produced by bees
