word,definition
roi,"(corporate finance) the amount, expressed as a percentage, that is earned on a company's total capital calculated by dividing the total capital into earnings before interest, taxes, or dividends are paid"
ron,a Chadic language spoken in northern Nigeria
rot,a state of decay usually accompanied by an offensive odor
row,an arrangement of objects or people side by side in a line
rub,an unforeseen obstacle
rue,European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
rug,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
rum,liquor distilled from fermented molasses
run,a score in baseball made by a runner touching all four bases safely
rus,the medieval Russian state established by Scandinavian traders in the 9th century; the capital was first in Novgorod and then in Kiev
rut,a groove or furrow (especially one in soft earth caused by wheels)
rye,the seed of the cereal grass
sac,an enclosed space
sad,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti
sag,a shape that sags
sam,a guided missile fired from land or shipboard against an airborne target
sap,"a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant"
sat,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
saw,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
sax,a Belgian maker of musical instruments who invented the saxophone (1814-1894)
say,the chance to speak
sea,a division of an ocean or a large body of salt water partially enclosed by land
sec,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
see,the seat within a bishop's diocese where his cathedral is located
sen,a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel
set,a group of things of the same kind that belong together and are so used
sew,fasten by sewing; do needlework
sex,activities associated with sexual intercourse
she,
shy,a quick throw
sib,a person's brother or sister
sic,urge to attack someone
sin,estrangement from god
sip,a small drink
sir,term of address for a man
sis,a female person who has the same parents as another person
sit,be seated
six,the cardinal number that is the sum of five and one
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
sky,the atmosphere and outer space as viewed from the earth
sly,marked by skill in deception
sob,a dyspneic condition
sod,surface layer of ground containing a mat of grass and grass roots
soh,the syllable naming the fifth (dominant) note of any musical scale in solmization
sol,a colloid that has a continuous liquid phase in which a solid is suspended in a liquid
son,a male human offspring
sop,piece of solid food for dipping in a liquid
sot,a chronic drinker
sou,a former French coin of low denomination; often used of any small amount of money
sow,an adult female hog
soy,a source of oil; used for forage and soil improvement and as food
spa,a health resort near a spring or at the seaside
spy,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
sty,an infection of the sebaceous gland of the eyelid
sub,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
sue,French writer whose novels described the sordid side of city life (1804-1857)
sum,a quantity of money
sun,the star that is the source of light and heat for the planets in the solar system
sup,a small amount of liquid food
sur,a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks
sus,type genus of the Suidae
tab,the bill in a restaurant
tad,a slight amount or degree of difference
tag,"a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc."
tai,a native or inhabitant of Thailand
tam,a woolen cap of Scottish origin
tan,a browning of the skin resulting from exposure to the rays of the sun
tao,an adherent of any branch of Taoism
tap,the sound made by a gentle blow
tar,any of various dark heavy viscid substances obtained as a residue
tat,tastelessness by virtue of being cheap and vulgar
tau,the 19th letter of the Greek alphabet
taw,the 23rd letter of the Hebrew alphabet
tax,charge against a citizen's person or property or activity for the support of government
tay,a branch of the Tai languages
tea,a beverage made by steeping tea leaves in water
tec,a police officer who investigates crimes
ted,a tough youth of 1950's and 1960's wearing Edwardian style clothes
tee,the starting place for each hole on a golf course
teg,two-year-old sheep
ten,the cardinal number that is the sum of nine and one; the base of the decimal system
the,
tho,a branch of the Tai languages
tib,"a unit of information equal to 1024 gibibytes or 2^40 (1,099,511,627,776) bytes"
tic,a local and habitual twitching especially in the face
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
tin,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
tip,the extreme end of something; especially something pointed
tit,either of two soft fleshy milk-secreting glandular organs on the chest of a woman
tod,a unit of weight for wool equal to about 28 pounds
toe,one of the digits of the foot
tog,provide with clothes or put clothes on
tom,(ethnic slur) offensive and derogatory name for a Black man who is abjectly servile and deferential to Whites
ton,a United States unit of weight equivalent to 2000 pounds
too,to a degree exceeding normal or proper limits
top,the upper part of anything
tor,a prominent rock or pile of rocks on a hill
tot,a small amount (especially of a drink)
tow,the act of hauling something (as a vehicle) by means of a hitch or rope
toy,an artifact designed to be played with
try,earnest and conscientious activity intended to do or accomplish something
tub,a relatively large open container that you fill with water and use to wash the body
tug,a sudden abrupt pull
tum,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
tun,a large cask especially one holding a volume equivalent to 2 butts or 252 gals
tup,uncastrated adult male sheep
tut,"utter `tsk,' `tut,' or `tut-tut,' as in disapproval"
tux,semiformal evening dress for men
two,the cardinal number that is the sum of one and one or a numeral representing this number
uca,fiddler crabs
uke,a small guitar having four strings
ull,(Norse mythology) one of the Aesir known for his beauty and skill with bow and skis; son of Sif and stepson of Thor
ump,an official at a baseball game
urd,goddess of fate: a giantess who personified the past
urn,a large vase that usually has a pedestal or feet
urs,an ancient city of Sumer located on a former channel of the Euphrates River
use,the act of using
uta,a reptile genus of Iguanidae
ute,a member of the Shoshonean people of Utah and Colorado and New Mexico
utu,sun god; counterpart of Akkadian Shamash
van,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
vas,a tube in which a body fluid circulates
vat,a tax levied on the difference between a commodity's price before taxes and its cost of production
vet,a doctor who practices veterinary medicine
vex,"cause annoyance in; disturb, especially by minor irritations"
vie,compete for something; engage in a contest; measure oneself against others
vim,a healthy capacity for vigorous activity
vip,an important or influential (and often overbearing) person
vis,the cardinal number that is the sum of five and one
vow,a solemn pledge (to oneself or to another or to a deity) to do something or to behave in a certain manner
wac,a member of the Women's Army Corps
wad,a small mass of soft material
wag,a witty amusing person who makes jokes
wan,a computer network that spans a wider area than does a local area network
war,the waging of armed conflict against an enemy
was,a state in northwestern United States on the Pacific
waw,the 6th letter of the Hebrew alphabet
wax,any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water
way,how something is done or how it happens
web,an intricate network suggesting something that was formed by weaving or interweaving
wed,the fourth day of the week; the third working day
wee,a short time
wei,any of several imperial dynasties of China ruling from 220 to 265 and from 386 to 556
wen,a common cyst of the skin; filled with fatty matter (sebum) that is secreted by a sebaceous gland that has been blocked
wet,wetness caused by water
who,a United Nations agency to coordinate international health activities and to help governments improve health services
why,"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
wig,hairpiece covering the head and made of real or synthetic hair
win,a victory (as in a race or other competition)
wis,a midwestern state in north central United States
wit,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
wiz,someone who is dazzlingly skilled in any field
woe,misery resulting from affliction
wog,(offensive British slang) term used by the British to refer to people of color from Africa or Asia
won,the basic unit of money in South Korea
woo,seek someone's favor
wop,(ethnic slur) offensive term for a person of Italian descent
wow,a joke that seems extremely funny
wry,humorously sarcastic or mocking
wye,the 25th letter of the Roman alphabet
yak,noisy talk
yam,edible tuber of any of several yams
yap,informal terms for the mouth
yaw,an erratic deflection from an intended course
yea,an affirmative
yen,a yearning for something or to do something
yes,an affirmative
yet,up to the present time
yew,wood of a yew; especially the durable fine-grained light brown or red wood of the English yew valued for cabinetwork and archery bows
yid,(ethnic slur) offensive term for a Jew
yin,the dark negative feminine principle in Chinese dualistic cosmology
yip,a sharp high-pitched cry (especially by a dog)
yis,a Loloish language
yon,distant but within sight (`yon' is dialectal)
you,
zag,an angular shape characterized by sharp turns in alternating directions
zea,corn
zed,the 26th letter of the Roman alphabet
zee,the 26th letter of the Roman alphabet
zen,school of Mahayana Buddhism asserting that enlightenment can come through meditation and intuition rather than faith; China and Japan
zep,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
zig,an angular shape characterized by sharp turns in alternating directions
zip,a quantity of no importance
zoo,the facility where wild animals are housed for exhibition
