word,definition
ERKS,plural of erk - aircraftmen
ERNE,type of eagle
ERNS,plural of ern - eagles
EROS,god of love
ERRS,third person of err
ERST,formerly
ERUV,boundary in Judaism
ESES,plural of es
ESKY,portable cooler
ESNE,Anglo-Saxon serf
ESPY,to catch sight of
ESSE,being or existence
ESTS,plural of est - superlative suffix
ETAS,plural of eta - Greek letters
ETAT,state (French)
ETCH,to engrave
ETEN,giant (archaic)
ETHE,variant of easy
ETHS,plural of eth - Old English letters
ETIC,relating to phonetics
ETNA,heating apparatus
ETUI,small ornamental case
EUGE,well done (Latin)
EUGH,exclamation of disgust
EUKS,plural of euk
EURO,European currency
EVEN,level or equal
EVER,at any time
EVES,plural of eve - evenings
EVET,newt
EVIL,wicked
EVOE,exclamation in Bacchic rites
EVOS,plural of evo - evolution
EWER,water jug
EWES,plural of ewe - female sheep
EWKS,plural of ewk
EWTS,plural of ewt - newts
EXAM,test
EXEC,executive
EXED,past tense of ex - to cross out
EXES,plural of ex - former partners
EXIT,way out
EXON,part of gene
EXPO,exposition
EXUL,exile
EYAS,young hawk
EYED,having eyes
EYEN,eyes (archaic)
EYER,one who eyes
EYES,plural of eye - organs of sight
EYNE,eyes (archaic)
EYOT,small island
EYRA,type of wildcat
EYRE,journey
EYRY,variant of aerie
FAAN,variant of fan
FAAS,plural of faa
FABS,plural of fab - fabulous things
FACE,front of head
FACT,truth
FADE,to become dim
FADO,Portuguese folk song
FADS,plural of fad - temporary fashions
FADY,relating to taboo
FAFF,to dither
FAGS,plural of fag - cigarettes
FAHS,plural of fah - musical notes
FAIK,variant of fake
FAIL,to be unsuccessful
FAIN,gladly
FAIR,just or light-colored
FAIX,faith (Irish)
FAKE,false
FALL,to drop
FALX,sickle-shaped
FAME,renown
FAMS,plural of fam - families
FAND,past tense of find (Scottish)
FANE,temple
FANG,sharp tooth
FANK,sheep pen
FANO,variant of fanon
FANS,plural of fan - cooling devices
FAPS,plural of fap - masturbation
FARD,to paint the face
FARE,price or food
FARL,triangular cake
FARM,agricultural land
FARO,card game
FARS,plural of far - distant things
FART,to break wind
FASH,to worry
FAST,quick
FATE,destiny
FATS,plural of fat - obese people
FAUN,Roman god
FAUR,variant of far
FAUT,archaic third person of fault
FAUX,false (French)
FAVA,broad bean
FAVE,favorite
FAVS,plural of fav - favorites
FAWN,young deer
FAWS,plural of faw
FAYS,plural of fay - fairies
FAZE,to disturb
FEAL,faithful
FEAR,dread
FEAT,achievement
FECK,strength or to steal
FEDS,plural of fed - federal agents
FEEB,feeble person
FEED,to give food
FEEL,to touch
FEEN,variant of fiend
FEER,companion
FEES,plural of fee - charges
FEET,plural of foot
FEGS,mild oath
FEHM,medieval German court
FEHS,plural of feh - exclamations
FEIS,Irish festival
FELL,past tense of fall or fierce
FELT,past tense of feel or fabric
FEME,woman in legal terms
FEMS,plural of fem - feminines
FEND,to defend
FENI,type of liquor
FENS,plural of fen - swamps
FENT,opening in garment
FEOD,variant of fief
FERE,companion
FERM,variant of farm
FERN,flowerless plant
FESS,to confess
FEST,festival
FETA,Greek cheese
FETE,festival
FETS,plural of fet
FETT,to repair
FEUD,prolonged quarrel
FEUS,plural of feu - feudal estates
FEWS,plural of few
FEYS,plural of fey - having supernatural powers
FIAR,heir
FIAT,authoritative decree
FIBS,plural of fib - small lies
FICE,small mongrel dog
FICO,fig or gesture of contempt
FIDO,generic dog name
FIDS,plural of fid - wooden pins
FIEF,feudal estate
FIER,proud (archaic)
FIFE,small flute
FIFI,type of dog
FIGO,variant of fico
FIGS,plural of fig - fruits
FIKE,to fidget
FIKY,restless
FILA,plural of filum
FILE,tool or line
FILK,science fiction folk music
FILL,to make full
FILM,thin layer
FILO,phyllo pastry
FILS,son (French)
FIND,to discover
FINE,good quality
FINI,finished (French)
FINK,to inform
FINO,type of sherry
FINS,plural of fin - fish appendages
FIQH,Islamic jurisprudence
FIRE,combustion
FIRK,to dance
FIRM,solid
FIRN,granular snow
FIRS,plural of fir - trees
FISC,treasury
FISH,aquatic animal
FISK,to refute
FIST,closed hand
FITS,plural of fit - seizures
FITT,canto of poem
FIVE,number
FIXT,archaic past tense of fix
FIZZ,effervescence
FLAB,excess flesh
FLAG,banner
FLAK,anti-aircraft fire
FLAM,type of drumbeat
FLAN,open tart
FLAP,to wave
FLAT,level surface
FLAW,defect
FLAX,plant fiber
FLAY,to strip skin
FLEA,jumping insect
FLED,past tense of flee
FLEE,to run away
FLEG,to frighten
FLEW,past tense of fly
FLEX,to bend
FLEY,to frighten
FLIC,police officer (French slang)
FLIM,nonsense
FLIP,to turn over
FLIR,infrared imaging
FLIT,to move lightly
FLIX,variant of flicks
FLOB,to spit
FLOC,woolly mass
FLOE,ice sheet
FLOG,to beat
FLOP,to fall heavily
FLOR,film on sherry
FLOW,to move smoothly
FLOX,type of flower
FLUB,to bungle
FLUE,smoke duct
FLUS,plural of flu - influenza
FLUX,continuous change
FOAL,young horse
FOAM,froth
FOBS,plural of fob - watch chains
FOCI,plural of focus
FOEN,variant of foe
FOES,plural of foe - enemies
FOGS,plural of fog - thick mists
FOGY,old-fashioned person
FOHN,warm dry wind
FOID,type of mineral
FOIL,thin metal sheet
FOIN,to thrust
FOLD,to bend
FOLK,people
FOLX,variant of folks
FOND,affectionate
FONE,variant of phone
FONS,plural of fon
FONT,typeface
FOOD,nourishment
FOOL,silly person
FOOS,plural of foo - nonsense
FOOT,body part
FOPS,plural of fop - dandies
FORA,plural of forum
FORB,herbaceous plant
FORD,shallow crossing
FORE,front
FORK,eating utensil
FORM,shape
FORT,fortified place
FOSS,ditch
FOUD,bailiff
FOUL,dirty
FOUR,number
FOUS,plural of fou - drunk persons
FOWL,bird
FOXY,cunning
FOYS,plural of foy - farewell feasts
FOZY,spongy
FRAB,to worry
FRAE,from (Scottish)
FRAG,to kill
FRAP,to bind tightly
FRAS,plural of fra - friars
FRAT,fraternity
FRAU,German woman
FRAY,to unravel
FREE,not confined
FRET,to worry
FRIB,to trifle
FRIG,to masturbate
FRIS,plural of fri
FRIT,ceramic material
FRIZ,to curl
FROE,cleaving tool
FROG,amphibian
FROM,away from
FROS,plural of fro - away from
FROW,cleaving tool
FRUG,dance
FUBS,plural of fub
FUCI,plural of fucus
FUCK,to have sex (vulgar)
FUDS,plural of fud
FUEL,combustible material
FUFF,to make soft sound
FUGS,plural of fug - stuffy atmospheres
FUGU,poisonous fish
FUJI,type of apple
FULL,complete
FUME,vapor
FUMS,plural of fum - mythical monsters
FUMY,producing fumes
FUND,money for purpose
FUNG,variant of funk
FUNK,fear or music style
FUNS,plural of fun - enjoyment
FURL,to roll up
FURR,to line with fur
FURS,plural of fur - animal hair
FURY,intense anger
FUSC,dark
FUSE,safety device
FUSK,to work carelessly
FUSS,unnecessary worry
FUST,to become moldy
FUTZ,to tinker
FUZE,type of fuse
FUZZ,fluffy fiber
FYCE,variant of fice
FYKE,fish trap
FYLE,variant of file
FYRD,Anglo-Saxon militia
