word,definition
deific,characterized by divine or godlike nature
deimos,the outer of two small satellites of Mars
deject,lower someone's spirits; make downhearted
delete,remove or make invisible
delude,be false to; be dishonest with
deluge,an overwhelming number or amount
deluxe,rich and superior in quality
demand,an urgent or peremptory request
demean,"reduce in worth or character, usually verbally"
demise,the time when something ends
demote,assign to a lower position; reduce in rank
demure,affectedly modest or shy especially in a playful or provocative way
denary,containing ten or ten parts
dengue,an infectious disease of the tropics transmitted by mosquitoes and characterized by rash and aching head and joints
denial,the act of refusing to comply (as with a request)
denier,a unit of measurement for the fineness of silk or nylon or rayon
denote,be a sign or indication of
dental,a consonant articulated with the tip of the tongue near the gum ridge
dentin,a calcareous material harder and denser than bone that comprises the bulk of a tooth
denude,lay bare
depart,move away from a place into another direction
depend,be contingent upon (something that is elided)
depict,"show in, or as in, a picture"
deploy,place troops or weapons in battle formation
depone,make a deposition; declare under oath
deport,behave in a certain manner
depose,force to leave (an office)
depute,transfer power to someone
deputy,someone authorized to exercise the powers of sheriff in emergencies
derail,cause to run off the tracks
derate,lower the rated electrical capability of electrical apparatus
deride,treat or speak of with contempt
derive,reason by deduction; establish by deduction
dermal,of or relating to a cuticle or cuticula
dermic,of or relating to or located in the dermis
dermis,the deep vascular inner layer of the skin
derris,any of various usually woody vines of the genus Derris of tropical Asia whose roots yield the insecticide rotenone; several are sources of native fish and arrow poisons
desalt,remove salt from
descry,catch sight of
desert,arid land with little or no vegetation
design,the act of working out the form of something (as by making a sketch or outline or plan)
desire,the feeling that accompanies an unsatisfied state
desist,choose not to consume
desmid,freshwater green algae
despot,a cruel and oppressive dictator
detach,cause to become detached or separated; take off
detail,an isolated fact that is considered separately from the whole
detain,deprive of freedom; take into confinement
detect,"discover or determine the existence, presence, or fact of"
detent,a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward
detest,dislike intensely; feel antipathy or aversion towards
detour,a roundabout road (especially one that is used temporarily while a main route is blocked)
deuced,expletives used informally as intensifiers
device,an instrumentality invented for a particular purpose
devise,a will disposing of real property
devoid,completely wanting or lacking
devoir,formal expression of respect
devote,"give entirely to a specific person, activity, or cause"
devour,destroy completely
devout,deeply religious;  H.L.Mencken
dewlap,a hanging fold of loose skin on an elderly person's neck
dexter,on or starting from the wearer's right
dharma,basic principles of the cosmos; also: an ancient sage in Hindu mythology worshipped as a god by some lower castes
diadem,an ornamental jeweled headdress signifying sovereignty
diaper,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
diatom,microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica
dibber,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs
dibble,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs
dibbuk,(Jewish folklore) a demon that enters the body of a living person and controls that body's behavior
dicing,cut into cubes
dicker,negotiate the terms of an exchange
dickey,a small third seat in the back of an old-fashioned two-seater
dictum,an authoritative declaration
didder,move with or as if with a tremor
diddle,deprive of by deceit
diesel,German engineer (born in France) who invented the diesel engine (1858-1913)
diesis,a character used in printing to indicate a cross reference or footnote
dieter,a person who diets
differ,be different
digest,a periodical that summarizes the news
digger,a laborer who digs
digram,two successive letters (especially two letters used to represent a single sound: `sh' in `shoe')
dilate,become wider
dilute,lessen the strength or flavor of a solution or mixture
dimity,a strong cotton fabric with a raised pattern; used for bedcovers and curtains
dimmed,switch (a car's headlights) from a higher to a lower beam
dimmer,a rheostat that varies the current through an electric light in order to control the level of illumination
dimple,a chad that has been punched or dimpled but all four corners are still attached
dinero,informal terms for money
dinghy,a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled
dingle,a small wooded hollow
dining,the act of eating dinner
dinkey,a small locomotive
dinner,the main meal of the day served in the evening or at midday
diodon,type genus of the Diodontidae
dipnoi,bony fishes of the southern hemisphere that breathe by a modified air bladder as well as gills; sometimes classified as an order of Crossopterygii
dipole,a pair of equal and opposite electric charges or magnetic poles separated by a small distance
dipped,"immerse briefly into a liquid so as to wet, coat, or saturate"
dipper,a ladle that has a cup with a long handle
direct,command with authority
dirndl,a full skirt with a gathered waistband
disarm,remove offensive capability from
disbar,remove from the bar; expel from the practice of law by official action
disbud,thin out buds to improve the quality of the remaining flowers
discus,an athletic competition in which a disk-shaped object is thrown as far as possible
dished,provide (usually but not necessarily food)
dismal,causing dejection
dismay,the feeling of despair in the face of obstacles
disown,prevent deliberately (as by making a will) from inheriting
dispel,force to go away; used both with concrete and metaphoric meanings
distal,"situated farthest from point of attachment or origin, as of a limb or bone"
disuse,the state of something that has been unused and neglected
dither,an excited state of agitation
divers,someone who works underwater
divert,turn aside; turn away from
divest,take away possessions from someone
divide,a serious disagreement between two groups of people (typically producing tension or hostility)
divine,terms referring to the Judeo-Christian God
diving,an athletic competition that involves diving into water
doable,capable of existing or taking place or proving true; possible to do
dobbin,a quiet plodding workhorse
dobson,large brown aquatic larva of the dobsonfly; used as fishing bait
docent,a teacher at some universities
docile,willing to be taught or led or supervised or directed
docker,a laborer who loads and unloads vessels in a port
docket,(law) the calendar of a court; the list of cases to be tried or a summary of the court's activities
doctor,a licensed medical practitioner
dodder,a leafless annual parasitic vine of the genus Cuscuta having whitish or yellow filamentous stems; obtain nourishment through haustoria
doddle,an easy task
dodger,a shifty deceptive person
dogged,go after with the intent to catch
doings,manner of acting or controlling yourself
dollar,the basic monetary unit in many countries; equal to 100 cents
dollop,a small measure (usually of food)
dolman,a hussar's jacket worn over the shoulders
dolmen,a prehistoric megalithic tomb typically having two large upright stones and a capstone
domain,a particular environment or walk of life
domine,a clergyman; especially a settled minister or parson
domino,United States rhythm and blues pianist and singer and composer (born in 1928)
donate,give to a charity or good cause
donjon,the main tower within the walls of a medieval castle or fortress
donkey,the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874
doodad,something unspecified whose name is either forgotten or not known
doodia,any fern of the genus Doodia having pinnate fronds with sharply dentate pinnae
doodle,an aimless drawing
dorado,a constellation in the southern hemisphere near Reticulum and Pictor; contains most of the Large Magellanic Cloud
dorian,a member of one of four linguistic divisions of the prehistoric Greeks
dormer,a gabled extension built out from a sloping roof to accommodate a vertical window
dormie,in match play a side that stands as many holes ahead as there are holes remaining to be played
dorsal,belonging to or on or near the back or upper surface of an animal or organ or part
dorsum,the posterior part of a human (or animal) body from the neck to the end of the spine
dosage,the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
dossal,an ornamental hanging of rich fabric hung behind the altar of a church or at the sides of a chancel
dossel,an ornamental hanging of rich fabric hung behind the altar of a church or at the sides of a chancel
dosser,someone who sleeps in any convenient place
dotage,mental infirmity as a consequence of old age; sometimes shown by foolish infatuations
dotard,an oldster in his dotage; someone whose age has impaired his intellect
doting,be foolish or senile due to old age
dotted,scatter or intersperse like dots or studs
dottle,the residue of partially burnt tobacco left caked in the bowl of a pipe after smoking
double,a base hit on which the batter stops safely at second base
doubly,to double the degree
douche,a small syringe with detachable nozzles; used for vaginal lavage and enemas
doughy,having the consistency of dough because of insufficient leavening or improper cooking
dourly,in a sullen manner
dovish,opposed to war
dowery,money or property brought by a woman to her husband at marriage
downer,a drug that reduces excitability and calms a person
dowser,someone who uses a divining rod to find underground water
drably,in a drab manner
drachm,a unit of apothecary weight equal to an eighth of an ounce or to 60 grains
drafty,not airtight
dragon,a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
draper,a dealer in fabrics and sewing materials (and sometimes in clothing and drygoods)
drawee,the person (or bank) who is expected to pay a check or draft when it is presented for payment
drawer,a boxlike container in a piece of furniture; made so as to slide in and out
dreamt,have a daydream; indulge in a fantasy
dreamy,dreamy in mood or nature
dreary,lacking in liveliness or charm or surprise
dredge,a power shovel to remove material from a channel or riverbed
drench,drench or submerge or be drenched or submerged
dressy,in fancy clothing
driest,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet
drimys,shrubs and trees of southern hemisphere having aromatic foliage
drippy,wet with light rain
drivel,a worthless message
driven,operate or control a vehicle
driver,the operator of a motor vehicle
drogue,a funnel-shaped device towed as a target by an airplane
droopy,hanging down (as from exhaustion or weakness)
dropsy,"swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
drosky,an open horse-drawn carriage with four wheels; formerly used in Poland and Russia
drover,someone who drives a herd
drowse,a light fitful sleep
drowsy,half asleep
drudge,one who works hard at boring tasks
drying,remove the moisture from and make dry
dudeen,a clay pipe with a short stem
dueler,a person who fights duels
duenna,a woman chaperon
duffel,a large cylindrical bag of heavy cloth; for carrying personal belongings
duffer,an incompetent or clumsy person
dugong,sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate
dugout,either of two low shelters on either side of a baseball diamond where the players and coaches sit during the game
dulcet,extremely pleasant in a gentle way
duller,lacking in liveliness or animation
dumbly,in a stupid manner
dumdum,a soft-nosed small-arms bullet that expands when it hits a target and causes a gaping wound
dumper,truck whose contents can be emptied without handling; the front end of the platform can be pneumatically raised so that the load is discharged by gravity
duncan,United States dancer and pioneer of modern dance (1878-1927)
dunker,an eater who dips food into a liquid before eating it
dunlin,small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions
dunner,of a dull greyish brown to brownish grey color
dupery,something intended to deceive; deliberate trickery intended to gain an advantage
duplex,a house with two units sharing a common wall
durant,United States historian (1885-1981)
durban,a port city in eastern South Africa on the Indian Ocean; resort and industrial center
durbar,the room in the palace of a native prince of India in which audiences and receptions occur
duress,compulsory force or threat
durham,a city of north central North Carolina; site of Duke University
durian,tree of southeastern Asia having edible oval fruit with a hard spiny rind
during,
duster,a windstorm that lifts up clouds of dust or sand
dyadic,of or relating to a dyad or based on two
dyeing,the use of dye to change the color of something permanently
dynamo,generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature
dynast,a hereditary ruler
eaglet,a young eagle
earful,an outpouring of gossip
earlap,one of two flaps attached to a cap to keep the ears warm
earner,someone who earn wages in return for their labor
earthy,conspicuously and tastelessly indecent
earwax,a soft yellow wax secreted by glands in the ear canal
earwig,any of numerous insects of the order Dermaptera having elongate bodies and slender many-jointed antennae and a pair of large pincers at the rear of the abdomen
easier,posing no difficulty; requiring little effort
easily,with ease (`easy' is sometimes used informally for `easily')
easing,a change for the better
easter,a Christian celebration of the Resurrection of Christ; celebrated on the Sunday following the first full moon after the vernal equinox
eatage,bulky food like grass or hay for browsing or grazing horses or cattle
eatery,a building where people go to eat
eating,the act of consuming food
ecarte,a card game for 2 players; played with 32 cards and king high
ecesis,(ecology) the process by which a plant or animal becomes established in a new habitat
echium,a genus of bristly herbs and shrubs of the family Boraginaceae
echoic,(of words) formed in imitation of a natural sound; ; - Harry Hoijer
eclair,oblong cream puff
eczema,generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages
edging,border consisting of anything placed on the edge to finish something (such as a fringe on clothing or on a rug)
edible,any substance that can be used as food
editor,a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
edward,King of England and Ireland in 1936; his marriage to Wallis Warfield Simpson created a constitutional crisis leading to his abdication (1894-1972)
eerily,in an unnatural eery manner
efface,remove completely from recognition or memory
effect,a phenomenon that follows and is caused by some previous phenomenon
effete,marked by excessive self-indulgence and moral decay
effigy,a representation of a person (especially in the form of sculpture)
efflux,the process of flowing out
effort,earnest and conscientious activity intended to do or accomplish something
effuse,pour out
egbert,king of Wessex whose military victories made Wessex the most powerful kingdom in England (died in 839)
egeria,small genus of dioecious tropical aquatic plants
eggcup,dishware consisting of a small cup for serving a boiled egg
egging,throw eggs at
eggnog,a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor
egoism,(ethics) the theory that the pursuit of your own welfare in the basis of morality
egoist,a conceited and self-centered person
egress,(astronomy) the reappearance of a celestial body after an eclipse
eighth,position eight in a countable series of things
eighty,the cardinal number that is the product of ten and eight
either,after a negative statement used as an intensive meaning something like `likewise' or `also'
elaeis,oil palms
elanus,a genus of small kites of both Old and New Worlds
elaphe,North American rat snakes
elapid,any of numerous venomous fanged snakes of warmer parts of both hemispheres
elapse,pass by
elated,fill with high spirits; fill with optimism
elater,any of various widely distributed beetles
eldest,the offspring who came first in the order of birth
eleven,the cardinal number that is the sum of ten and one
elfish,usually good-naturedly mischievous
elicit,"call forth (emotions, feelings, and responses)"
elijah,a Hebrew prophet in the Old Testament who opposed the worship of idols; he was persecuted for rebuking Ahab and Jezebel (king and queen of Israel); he was taken up to heaven in a chariot of fire (circa 9th century BC)
elixir,a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
elodea,submerged freshwater perennials
eluate,a liquid solution that results from elution
elvish,usually good-naturedly mischievous
elymus,tall tufted perennial grasses (such as lyme grass or wild rye)
embalm,preserve a dead body
embank,"enclose with banks, as for support or protection"
embark,go on board
emblem,"special design or visual object representing a quality, type, group, etc."
embody,represent in bodily form
emboss,raise in a relief
embryo,(botany) a minute rudimentary plant contained within a seed or an archegonium
emerge,"come out into view, as from concealment"
emesis,the reflex act of ejecting the contents of the stomach through the mouth
emetic,a medicine that induces nausea and vomiting
emilia,tropical African herbs
empire,the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
employ,the state of being employed or having a job
emptor,a person who buys
enable,render capable or able for some task
enamel,hard white substance covering the crown of a tooth
enamor,attract; cause to be enamored
enatic,related on the mother's side
encamp,live in or as if in a tent
encase,"enclose in, or as if in, a case"
encode,convert information into code
encore,an extra or repeated performance; usually given in response to audience demand
endear,make attractive or lovable
ending,the end of a word (a suffix or inflectional ending or final morpheme)
endive,widely cultivated herb with leaves valued as salad green; either curly serrated leaves or broad flat ones that are usually blanched
endure,put up with something or somebody unpleasant
energy,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
enfold,enclose or enfold completely with or as if with a covering
engage,carry out or participate in an activity; be involved in
engild,"decorate with, or as if with, gold leaf or liquid gold"
engine,motor that converts thermal energy to mechanical work
englut,overeat or eat immodestly; make a pig of oneself
engram,a postulated biochemical change (presumably in neural tissue) that represents a memory
engulf,devote (oneself) fully to
enigma,something that baffles understanding and cannot be explained
enjoin,issue an injunction
enkidu,legendary friend of Gilgamish
enlace,"spin,wind, or twist together"
enlist,join the military
enmesh,entangle or catch in (or as if in) a mesh
enmity,a state of deep-seated ill-will
ennead,the cardinal number that is the sum of eight and one
enolic,of or relating to or consisting of enol
enough,an adequate quantity; a quantity that is large enough to achieve a purpose
enrage,put into a rage; make violently angry
enrich,make better or improve in quality
enrobe,provide with a coating
enroll,register formally as a participant or member
ensete,Old World tropical herbs: Abyssinian bananas
ensign,a person who holds a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant junior grade
ensile,store in a silo
ensure,make certain of
entail,land received by fee tail
entice,provoke someone to do something through (often false or exaggerated) promises or persuasion
entire,uncastrated adult male horse
entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
entomb,place in a grave or tomb
entrap,take or catch as if in a snare or trap
entree,the principal dish of a meal
envied,feel envious towards; admire enviously
enwrap,enclose or enfold completely with or as if with a covering
enzyme,any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
eocene,from 58 million to 40 million years ago; presence of modern mammals
eolith,a crude stone artifact (as a chipped flint); possibly the earliest tools
eparch,a bishop or metropolitan in charge of an eparchy in the Eastern Church
epical,constituting or having to do with or suggestive of a literary epic
epizoa,any external parasitic organism (as fleas)
eponym,the person for whom something is named
equate,"consider or describe as similar, equal, or analogous"
equine,hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
equity,the difference between the market value of a property and the claims held against it
erased,remove from memory or existence
eraser,an implement used to erase something
erbium,a trivalent metallic element of the rare earth group; occurs with yttrium
ermine,the expensive white fur of the ermine
eroded,become ground down or deteriorate
erotic,an erotic person
errand,a short trip that is taken in the performance of a necessary task or mission
errant,straying from the right course or from accepted standards
errata,a mistake in printed matter resulting from mechanical failures of some kind
erring,to make a mistake or be incorrect
ersatz,an artificial or inferior substitute or imitation
eryngo,any plant of the genus Eryngium
escape,the act of escaping physically
escarp,a steep artificial slope in front of a fortification
eschar,a dry scab formed on the skin following a burn or cauterization of the skin
eschew,avoid and stay away from deliberately; stay clear of
escort,someone who escorts and protects a prominent person
escrow,a written agreement (or property or money) delivered to a third party or put in trust by one party to a contract to be returned after fulfillment of some condition
escudo,formerly the basic monetary unit of Portugal; equal to 100 centavo
eskimo,a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people')
espial,the act of detecting something; catching sight of something
essene,a member of an ascetic Jewish sect around the time of Jesus
estate,everything you own; all of your assets (whether real property or personal property) and liabilities
esteem,the condition of being honored (esteemed or respected or well regarded)
esther,(Old Testament) a beautiful Jewess chosen by the king of Persia to be his queen; she stopped a plot to massacre all the Jews in Persia (an event celebrated by Jews as the feast of Purim)
etamin,a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc.
etcher,someone who etches
ethane,a colorless odorless alkane gas used as fuel
ethene,a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic
ethics,motivation based on ideas of right and wrong
ethnic,a person who is a member of an ethnic group
ethnos,people of the same race or nationality who share a distinctive culture
ethyne,a colorless flammable gas used chiefly in welding and in organic synthesis
etymon,a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes
euchre,a card game similar to ecarte; each player is dealt 5 cards and the player making trump must take 3 tricks to win a hand
euclid,Greek geometer (3rd century BC)
eugene,Austrian general in the service of the Holy Roman Empire during the War of the Spanish Succession (1663-1736)
eulogy,a formal expression of praise for someone who has died recently
eunuch,a man who has been castrated and is incapable of reproduction
eupnea,normal relaxed breathing
eureka,an alloy of copper and nickel with high electrical resistance and a low temperature coefficient; used as resistance wire
europa,the 4th largest of Jupiter's satellites; covered with a smooth shell of frozen water
evener,divisible by two
evenly,in equal amounts or shares; in a balanced or impartial way
evilly,in a wicked evil manner
evince,give expression to
evolve,work out
examen,a detailed inspection of your conscience (as done daily by Jesuits)
exarch,a bishop in one of several Eastern Orthodox Churches in North America
exceed,be greater in scope or size than some standard
except,take exception to
excess,a quantity much larger than is needed
excise,a tax that is measured by the amount of business done (not on property or income from real estate)
excite,arouse or elicit a feeling
excuse,a defense of some offensive behavior or some failure to keep a promise etc.
exempt,grant relief or an exemption from a rule or requirement to
exhale,expel air
exhort,spur on or encourage especially by cheers and shouts
exhume,dig up for reburial or for medical investigation; of dead bodies
exilic,of or relating to a period of exile (especially the exile of the Jews known as the Babylonian Captivity)
exmoor,horned sheep of Devon; valued for mutton
exodus,a journey by a large group to escape from a hostile environment
exogen,flowering plant with two cotyledons; the stem grows by deposit on its outside
exotic,being or from or characteristic of another place or part of the world
expand,extend in one or more directions
expect,regard something as probable or likely
expend,"use up, consume fully"
expert,a person with special knowledge or ability who performs skillfully
expire,lose validity
expiry,a coming to an end of a contract period
export,commodities (goods or services) sold to a foreign country
expose,the exposure of an impostor or a fraud
exsert,thrust or extend out
extant,still in existence; not extinct or destroyed or lost; ; - Edward Clodd
extend,extend in scope or range or area
extent,the point or degree to which something extends
extern,a nonresident doctor or medical student; connected with a hospital but not living there
extort,obtain through intimidation
eyecup,a small vessel with a rim curved to fit the orbit of the eye; use to apply medicated or cleansing solution to the eyeball
eyeful,a strikingly beautiful woman
eyeish,a member of the Caddo people of northeastern Texas
eyelet,a small hole (usually round and finished around the edges) in cloth or leather for the passage of a cord or hook or bar
eyelid,either of two folds of skin that can be moved to cover or open the eye
fabian,a member of the Fabian Society in Britain
fabled,celebrated in fable or legend
fabric,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
facade,the face or front of a building
facial,cranial nerve that supplies facial muscles
facile,arrived at without due care or effort; lacking depth
facing,a lining applied to the edge of a garment for ornamentation or strengthening
factor,anything that contributes causally to a result
facula,a bright spot on a planet
fading,weakening in force or intensity
faerie,"a small being, human in form, playful and having magical powers"
faille,a ribbed woven fabric of silk or rayon or cotton
faints,a spontaneous loss of consciousness caused by insufficient blood to the brain
fairer,free from favoritism or self-interest or bias or deception; conforming with established standards or rules
fairly,to a moderately sufficient extent or degree
fakery,the act of faking (or the product of faking)
falcon,diurnal birds of prey having long pointed powerful wings adapted for swift flight
fallen,descend in free fall under the influence of gravity
faller,a person who fells trees
fallow,cultivated land that is not seeded for one or more growing seasons
falser,not in accordance with the fact or reality or actuality
falsie,padding that is worn inside a brassiere
falter,the act of pausing uncertainly
family,a social unit living together
famine,an acute insufficiency
famish,be hungry; go without food
famous,widely known and esteemed
fandom,the fans of a sport or famous person
fanged,having fangs
fanion,a small flag used by surveyors or soldiers to mark a position
fardel,a burden (figuratively in the form of a bundle)
farina,fine meal made from cereal grain especially wheat; often used as a cooked cereal or in puddings
faring,proceed or get along
farmer,a person who operates a farm
farrow,the production of a litter of pigs
fasces,bundle of rods containing an axe with the blade protruding; in ancient Rome it was a symbol of a magistrate's power; in modern Italy it is a symbol of fascism
fascia,a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc
fasten,cause to be firmly attached
faster,acting or moving or capable of acting or moving quickly
father,a male parent (also used as a term of address to your father)
fathom,a linear unit of measurement (equal to 6 feet) for water depth
fatiha,the first or opening sura of the Quran which is the central prayer of Islam and is used on all special occasions as well as during the five daily prayers
fatima,youngest daughter of the prophet Mohammed and wife of the fourth calif Ali; revered especially by Shiite Muslims (606-632)
fatten,make fat or plump
fatter,having an (over)abundance of flesh
faucal,of or relating to the fauces
fauces,the passage between the back of the mouth and the pharynx
faucet,a regulator for controlling the flow of a liquid from a reservoir
faulty,having a defect
favism,anemia resulting from eating fava beans; victims have an inherited blood abnormality and enzyme deficiency
fawner,someone who humbles himself as a sign of respect; who behaves as if he had no self-respect
fealty,the loyalty that citizens owe to their country (or subjects to their sovereign)
feared,be afraid or feel anxious or apprehensive about a possible or probable situation or event
fecula,excreta (especially of insects)
fecund,capable of producing offspring or vegetation
fedora,a hat made of felt with a creased crown
feeble,pathetically lacking in force or effectiveness
feebly,in a faint and feeble manner
feeder,an animal being fattened or suitable for fattening
feeler,one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste
feijoa,South American shrub having edible greenish plumlike fruit
feisty,showing courage
feline,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws"
fellah,an agricultural laborer in Arab countries
feller,a person who fells trees
felloe,rim (or part of the rim) into which spokes are inserted
fellow,a boy or man
felony,a serious crime (such as murder or arson)
felted,mat together and make felt-like
female,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
femora,the longest and thickest bone of the human skeleton; extends from the pelvis to the knee
fencer,someone skilled at fencing
fender,a barrier that surrounds the wheels of a vehicle to block splashing water or mud
fennel,any of several aromatic herbs having edible seeds and leaves and stems
fenrir,(Norse mythology) an enormous wolf that was fathered by Loki and that killed Odin
ferial,of or relating to or being a feria
ferine,wild and menacing
ferned,abounding in or covered with ferns
ferret,musteline mammal of prairie regions of United States; nearly extinct
ferric,of or relating to or containing iron
ferule,a switch (a stick or cane or flat paddle) used to punish children
fervid,characterized by intense emotion
fervor,feelings of great warmth and intensity
fescue,grass with wide flat leaves cultivated in Europe and America for permanent pasture and hay and for lawns
festal,offering fun and gaiety
fester,a sore that has become inflamed and formed pus
fetish,a form of sexual desire in which gratification depends to an abnormal degree on some object or item of clothing or part of the body
fetter,a shackle for the ankles or feet
fettle,a state of fitness and good health
feudal,of or relating to or characteristic of feudalism
fiance,a man who is engaged to be married
fiasco,a sudden and violent collapse
fibber,someone who tells lies
fibril,a very slender natural or synthetic fiber
fibrin,a white insoluble fibrous protein formed by the action of thrombin on fibrinogen when blood clots; it forms a network that traps red cells and platelets
fibula,the outer and thinner of the two bones of the human leg between the knee and ankle
fickle,marked by erratic changeableness in affections or attachments
fiddle,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
fidget,a feeling of agitation expressed in continual motion
fierce,marked by extreme and violent energy
fiesta,an elaborate party (often outdoors)
figure,a diagram or picture illustrating textual material
fijian,a native or inhabitant of Fiji
filago,any plant of the genus Filago having capitate clusters of small woolly flower heads
filial,designating the generation or the sequence of generations following the parental generation
filing,the entering of a legal document into the public record
filled,"make full, also in a metaphorical sense"
filler,used for filling cracks or holes in a surface
fillet,a boneless steak cut from the tenderloin of beef
fillip,anything that tends to arouse
filter,device that removes something from whatever passes through it
filthy,disgustingly dirty; filled or smeared with offensive matter
finale,the closing section of a musical composition
finder,someone who comes upon something after searching
finely,in tiny pieces
finery,elaborate or showy attire and accessories
finger,any of the terminal members of the hand (sometimes excepting the thumb)
finial,an ornament at the top of a spire or gable; usually a foliated fleur-de-lis
fining,issue a ticket or a fine to as a penalty
finish,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
finite,bounded or limited in magnitude or spatial or temporal extent
finned,equip (a car) with fins
finnic,one of two branches of the Finno-Ugric languages; a family of languages including Finnish and Estonian (but not Hungarian)
fipple,a wooden plug forming a flue pipe (as the mouthpiece of a recorder)
firing,the act of firing weapons or artillery at an enemy
firkin,a British unit of capacity equal to 9 imperial gallons
firmer,marked by firm determination or resolution; not shakable
firmly,with resolute determination
fiscal,involving financial matters
fished,seek indirectly
fisher,someone whose occupation is catching fish
fitful,occurring in spells and often abruptly
fitted,be agreeable or acceptable to
fitter,someone who fits a garment to a particular person
fixate,attach (oneself) to a person or thing in a neurotic way
fixing,the act of putting something in working order again
fixity,the quality of being fixed in place as by some firm attachment
fizgig,an implement with a shaft and barbed point used for catching fish
fizzle,a fricative sound (especially as an expression of disapproval)
flabby,out of condition; not strong or robust; incapable of exertion or endurance
flagon,a large metal or pottery vessel with a handle and spout; used to hold alcoholic beverages (usually wine)
flamed,shine with a sudden light
flamen,a priest who served a particular deity in ancient Rome
flange,a projection used for strength or for attaching to another object
flashy,tastelessly showy
flatly,in an unqualified manner
flatus,a reflex that expels intestinal gas through the anus
flaunt,the act of displaying something ostentatiously
flavin,a ketone that forms the nucleus of certain natural yellow pigments like riboflavin
flavor,the general atmosphere of a place or situation and the effect that it has on people
flawed,add a flaw or blemish to; make imperfect or defective
flaxen,of hair color; pale yellowish to yellowish brown
fledge,"feed, care for, and rear young birds for flight"
fleece,the wool of a sheep or similar animal
fleecy,(of fabrics) having soft nap produced by brushing
flense,strip the blubber or skin from (a whale or seal)
fleshy,usually describes a large person who is fat but has a large frame to carry it
flexed,contract
flexor,a skeletal muscle whose contraction bends a joint
flight,a formation of aircraft in flight
flimsy,a thin strong lightweight translucent paper used especially for making carbon copies
flinch,a reflex response to sudden pain
flinty,containing flint
flitch,fish steak usually cut from a halibut
floaty,tending to float on a liquid or rise in air or gas
floozy,a prostitute who attracts customers by walking the streets
floppy,a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer
floral,resembling or made of or suggestive of flowers
floret,a diminutive flower (especially one that is part of a composite flower)
florid,elaborately or excessively ornamented
florin,the basic unit of money in Suriname; equal to 100 cents
flossy,like down or as soft as down
floury,resembling flour in fine powdery texture
flower,a plant cultivated for its blooms or blossoms
fluent,smooth and unconstrained in movement
fluffy,like down or as soft as down
flunky,a male servant (especially a footman)
flurry,a rapid active commotion
fluted,form flutes in
flying,an instance of traveling by air
flyway,the geographic route along which birds customarily migrate
fodder,soldiers who are regarded as expendable in the face of artillery fire
foeman,an armed adversary (especially a member of an opposing military force)
fogged,make less visible or unclear
foible,a behavioral attribute that is distinctive and peculiar to an individual
folded,bend or lay so that one part covers the other
folder,a small book usually having a paper cover
folium,a thin layer or stratum of (especially metamorphic) rock
folksy,characteristic of country life
follow,"to travel behind, go after, come after"
